Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,"1,427",3.144,2.824,2.817,0.913,104,3.2,4.9,0.00303,0.841,99.04,70.714,0.63504
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,2471-2566,138,1.909,1.795,1.847,0.227,22,2.6,6.1,0.00041,0.559,100,27.469,0.08682
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,922,0.41,0.333,0.671,0.231,13,29.2,10,0.00026,0.298,100,1.389,0.05465
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,352,2.085,1.957,1.453,0.4,20,5.4,5.3,0.00066,0.469,100,44.34,0.13866
ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,"1,365",2.253,2.101,2.409,0.471,51,7.6,6.8,0.00099,0.499,100,36.839,0.2078
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,908,2.674,2.543,2.716,0.129,31,7.7,7.1,0.00099,1.013,100,67.13,0.20768
ACM Transactions on Storage,ACM T STORAGE,1553-3077,508,1.48,1.4,1.811,0.345,29,6.5,7.2,0.00088,0.674,100,30.097,0.18476
ACM Transactions on the Web,ACM T WEB,1559-1131,782,2.043,2,1.983,0.222,18,9.3,6.3,0.00077,0.655,100,42.515,0.16248
ACOUSTICAL PHYSICS,ACOUST PHYS+,1063-7710,956,0.856,0.497,0.805,0.089,79,8.4,11.7,0.00069,0.148,98.73,17.188,0.14473
Acoustics Australia,ACOUST AUST,0814-6039,360,1.5,1.313,1.267,0.262,42,4.9,8.8,0.00038,0.251,95.24,32.813,0.08136
Across Languages and Cultures,ACROSS LANG CULT,1585-1923,169,1.16,1.04,1.095,0.25,12,8,12,0.00032,0.506,100,48.964,0.06876
ACS Applied Electronic Materials,ACS APPL ELECTRON MA,****-****,"1,378",3.314,3.129,3.314,0.684,474,1.3,5.6,0.00229,0.7,97.05,57.394,0.48019
ACS Applied Energy Materials,ACS APPL ENERG MATER,2574-0962,"12,740",6.024,5.689,6.025,1.134,"1,350",1.9,4.7,0.0233,1.218,99.04,72.236,4.88354
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,1944-8244,"274,703",9.229,8.548,9.57,1.721,"5,927",3.7,4.9,0.39173,1.703,99.21,83.928,82.07326
ACS Applied Nano Materials,ACS APPL NANO MATER,2574-0970,"9,727",5.097,4.615,5.1,1.11,"1,250",1.9,5.6,0.01481,0.88,97.76,62.804,3.10368
ACS Applied Polymer Materials,ACS APPL POLYM MATER,2637-6105,"2,241",4.089,3.755,4.089,1.123,610,1.3,6.5,0.00274,0.702,96.89,68.903,0.57517
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,2373-9878,"9,925",4.749,4.503,5.289,0.972,609,2.8,6.7,0.01668,0.919,92.45,58.75,3.49592
ACS Catalysis,ACS CATAL,2155-5435,"92,236",13.084,12.205,13.721,2.75,"1,381",3.8,6.5,0.16675,3.13,95.8,91.049,34.93765
ACS Central Science,ACS CENTRAL SCI,2374-7943,"11,097",14.553,14.38,15.435,5.652,198,2.7,5.3,0.03209,4.824,99.49,90.782,6.72328
ACS Chemical Biology,ACS CHEM BIOL,1554-8929,"16,023",5.1,4.954,5.159,1.295,342,5.3,8,0.02949,1.682,96.78,70.973,6.17964
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,"10,120",4.418,4.127,4.744,2.916,395,3.4,7.9,0.015,1.07,87.34,66.262,3.14277
ACS Combinatorial Science,ACS COMB SCI,2156-8952,"2,546",3.784,3.562,3.774,0.878,90,4.7,6.9,0.00332,0.768,91.11,63.509,0.69605
ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,2472-3452,"1,714",3.475,3.057,3.468,0.64,222,1.9,10.1,0.00465,0.999,98.65,60.175,0.97614
ACS Energy Letters,ACS ENERGY LETT,2380-8195,"30,194",23.101,21.918,22.423,4.854,425,2.6,3.5,0.07268,5.629,91.53,95.981,15.22913
ACS Infectious Diseases,ACS INFECT DIS,2373-8227,"3,865",5.084,4.784,5.676,1.723,278,2.6,7.3,0.00914,1.491,93.17,79.482,1.91662
ACS Macro Letters,ACS MACRO LETT,****-****,"13,599",6.903,6.547,6.476,1.887,265,4.5,6.6,0.02046,1.451,100,92.614,4.28696
ACS Materials Letters,ACS MATER LETT,****-****,"1,188",8.312,7.914,8.323,2.245,184,1.2,4.1,0.0021,2.2,85.33,85.224,0.44146
ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,1948-5875,"8,201",4.345,4.189,4.273,1.372,331,4.7,6.8,0.01074,0.946,100,67.46,2.25167
ACS Nano,ACS NANO,1936-0851,"195,525",15.881,15.275,16.207,3.336,"1,542",5.4,5.4,0.24742,3.689,95.98,92.357,51.83872
ACS Omega,ACS OMEGA,2470-1343,"23,258",3.512,3.355,3.613,0.757,"3,529",2.1,7.2,0.03701,0.631,97.34,56.704,7.75474
ACS Photonics,ACS PHOTONICS,2330-4022,"17,524",7.529,7.148,7.718,1.524,401,3,5.8,0.04394,2.092,98.25,82.028,9.20691
ACS Sensors,ACS SENSORS,2379-3694,"9,997",7.711,7.332,8.162,1.363,443,2.6,6,0.01968,1.663,93.45,82.549,4.12476
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,"62,273",8.198,7.67,8.471,1.523,"1,905",2.7,5,0.09207,1.382,99.27,87.379,19.28989
ACS Synthetic Biology,ACS SYNTH BIOL,2161-5063,"7,500",5.11,4.65,5.239,1.095,328,3.3,7,0.01978,1.686,96.04,88.961,4.14568
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,1091-5397,347,1.364,1.167,1.136,0.378,37,5.2,5.5,0.00035,0.224,100,13.068,0.07443
ACTA ACUSTICA,ACTA ACUST,****-****,141,Not Available,0,Not Available,0.065,31,21.8,11.6,0.00002,Not Available,100,Not Available,0.00446
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,1610-1928,"2,536",0.762,0.762,0.944,Not Available,0,14.4,Not Available,0.00187,0.31,Not Available,10.938,0.39282
ACTA ADRIATICA,ACTA ADRIAT,0001-5113,494,0.739,0.674,1.121,0,22,9.8,13,0.00032,0.242,86.36,14.213,0.06894
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,0906-4702,728,0.684,0,Not Available,0.243,36,14.8,9.8,0.00017,0.19,100,Not Available,0.03606
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,"1,790",1.694,1.611,1.568,0.5,84,7.7,8.9,0.00117,0.27,97.62,34.036,0.24532
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,768,0.65,0.575,0.899,0.22,59,7.5,9.3,0.00042,0.13,98.31,10.934,0.08939
ACTA AMAZONICA,ACTA AMAZON,0044-5967,"1,935",1.126,1.074,1.413,0.314,51,12.6,10.1,0.00077,0.322,98.04,24.922,0.16306
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,0001-5172,"7,801",2.105,1.877,2.469,0.663,243,11.1,7.4,0.00569,0.746,86.01,22.727,1.19371
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,"1,848",1.215,1.149,1.172,0.48,125,10.9,11.4,0.00172,0.566,100,41.698,0.36163
ACTA ARITHMETICA,ACTA ARITH,0065-1036,"2,106",0.608,0.553,0.587,0.248,113,19.7,18.7,0.00312,0.616,100,16.818,0.65374
ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,"11,097",2.413,1.903,2.485,0.674,484,5.1,8.1,0.01386,0.564,98.14,83.824,2.90533
ACTA ASTRONOMICA,ACTA ASTRONOM,0001-5237,"1,298",2.477,2.25,2.948,0.368,19,13.2,9.1,0.00127,1.065,100,52.206,0.26656
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,"4,903",3.848,3.779,3.67,0.71,138,6.2,6.2,0.00437,0.68,86.23,58.956,0.91727
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,"3,466",2.149,2.112,2.175,0.169,83,8.9,7.6,0.00193,0.375,90.36,17.282,0.40634
Acta Bioethica,ACTA BIOETH,1726-569X,173,0.408,0.327,0.342,0.16,25,8.5,12.5,0.00014,0.095,100,4.831,0.03064
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,1900-1649,395,0.41,0.337,0.607,0.196,51,7,9.6,0.00032,0.121,76.47,3.453,0.06826
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,0001-5296,591,0.938,0.875,1.277,0.333,12,10.9,9.4,0.00022,0.227,100,17.66,0.04612
Acta Biomaterialia,ACTA BIOMATER,1742-7061,"51,403",8.947,8.516,9,2.326,558,5.5,7,0.04632,1.536,88.71,89.097,9.70518
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,114,0.128,0.038,0.178,0.094,32,8.2,8.7,0.00007,0.034,100,1.724,0.01629
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,719,1.774,1.613,1.394,0.476,42,14.5,12,0.00028,0.291,85.71,28.448,0.05901
Acta Botanica Brasilica,ACTA BOT BRAS,0102-3306,"2,023",1.268,1.208,1.552,0.375,56,10.2,12.3,0.00137,0.369,94.64,27.872,0.28794
ACTA BOTANICA CROATICA,ACTA BOT CROAT,0365-0588,527,0.943,0.943,1.227,0.385,26,8.2,11.2,0.00037,0.244,96.15,18.936,0.07881
Acta Botanica Mexicana,ACTA BOT MEX,0187-7151,561,0.96,0.707,0.961,0.216,37,8.7,12.2,0.00032,0.177,94.59,19.787,0.06904
ACTA CARDIOLOGICA,ACTA CARDIOL,0001-5385,"1,229",1.718,1.464,1.313,0.667,171,6.9,7.3,0.00105,0.307,85.38,15.141,0.22182
Acta Cardiologica Sinica,ACTA CARDIOL SIN,1011-6842,836,2.672,1.552,1.715,0.381,63,3.6,6.7,0.00109,0.286,85.71,41.197,0.22919
ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,597,0.844,0.719,1.381,0.111,18,10.7,10.3,0.00037,0.343,100,7.789,0.07779
ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,"2,366",2.668,1.916,1.839,0.56,141,5.4,5.1,0.00165,0.251,65.25,43.296,0.34599
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,"1,896",1.735,1.35,1.449,0.285,137,6.7,8.6,0.00099,0.169,97.81,29.33,0.20918
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,948,1.073,0.963,1.326,0.054,37,10.1,11.7,0.00067,0.344,100,31.143,0.14115
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,0001-5415,469,0.531,0.383,0.561,0,62,7.6,8.7,0.00037,0.117,96.77,5.488,0.07923
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,0001-5458,"1,149",1.09,1.068,0.956,0.331,127,10.2,9.1,0.00081,0.219,86.61,12.972,0.17023
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,1233-2356,650,1.639,1.412,1.301,0.711,45,5.9,8.5,0.00038,0.165,95.56,15.06,0.08127
Acta Cirurgica Brasileira,ACTA CIR BRAS,0102-8650,"1,731",1.388,1.292,1.344,0.202,94,6.4,8.7,0.00145,0.241,97.87,18.16,0.30543
ACTA CLINICA BELGICA,ACTA CLIN BELG,1784-3286,"1,156",1.264,1.215,1.102,0.575,160,6.4,6.6,0.00104,0.247,77.5,26.923,0.2189
Acta Clinica Croatica,ACTA CLIN CROAT,0353-9466,706,0.78,0.695,0.766,0.033,91,4.8,9.6,0.00088,0.157,78.02,15.089,0.18498
Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,2053-2733,"12,059",2.29,2.092,3.28,0.71,62,21.2,16.4,0.00299,1.008,98.39,46.739,0.62823
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,****-****,"12,686",2.266,2.099,4.711,0.561,107,26.1,10.5,0.00642,1.296,99.07,44.537,1.34523
Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,2053-2296,"11,269",1.172,1.016,7.319,0.285,137,5.8,8,0.01339,1.356,100,24.06,2.80557
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2059-7983,"23,670",7.652,6.724,4.956,0.602,118,10.5,9.9,0.02019,2.985,99.15,91.358,4.23081
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,****-****,"2,193",1.056,1.042,1.089,0.247,81,7.5,10.4,0.00261,0.365,100,10.474,0.5488
ACTA CYTOLOGICA,ACTA CYTOL,0001-5547,"2,670",2.319,2.101,2.324,1.013,77,11.5,7.5,0.00151,0.491,64.94,43.506,0.3166
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,"8,418",4.437,4.076,4.379,1.014,210,8.1,6.8,0.00919,1.225,68.57,78.676,1.92634
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,1330-027X,564,1.256,1.256,1.429,0,17,6.2,9.6,0.00061,0.311,64.71,9.559,0.1282
ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,"4,971",4.28,4.073,3.77,1.542,216,5.1,6.3,0.0064,0.934,88.43,57.586,1.34188
Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,1841-0987,338,0.877,0.784,0.678,0.05,60,3.4,8.6,0.00059,0.144,95,5.172,0.12388
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0374-1036,535,0.737,0.646,0.762,0.217,46,7.5,23.2,0.00059,0.221,76.09,18.137,0.12376
ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,562,1.231,1.192,1.692,0.36,25,7,14.8,0.00071,0.485,92,19.472,0.14968
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,1784-3227,704,1.316,0.842,1.022,0.693,75,6.9,6.9,0.0005,0.182,74.67,2.717,0.1054
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,2213-5812,457,1.324,1,1.372,0.479,48,4.6,10.3,0.00083,0.423,97.92,23.295,0.17421
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,1214-9705,484,1.176,0.986,1.309,0.444,36,5.4,10.3,0.00052,0.262,97.22,19.521,0.10974
Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,1581-6613,286,1.698,1.256,1.179,0.565,23,6.3,10.1,0.00019,0.18,100,19,0.04126
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0001-5709,"1,068",0.983,0.914,1.385,0.278,18,14.8,24.9,0.00053,0.362,94.44,23.958,0.1116
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1000-9515,"5,643",1.886,1.466,2.603,0.34,203,8.6,11.2,0.0043,0.545,99.01,30.905,0.9024
Acta Geophysica,ACTA GEOPHYS,1895-6572,"1,769",2.054,1.826,1.655,0.669,136,4.6,10.5,0.00205,0.352,95.59,43.75,0.43129
Acta Geotechnica,ACTA GEOTECH,1861-1125,"4,483",5.856,4.284,5.942,1.529,314,3.8,11.2,0.00634,1.375,97.77,89.024,1.32915
Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,1854-0171,108,0.5,0.5,0.696,0,8,7.2,12.2,0.0001,0.145,100,1.22,0.02165
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,0001-5792,"2,175",2.195,2.098,1.767,1.976,84,9.5,6.3,0.00158,0.432,70.24,20.395,0.33183
Acta Herpetologica,ACTA HERPETOL,1827-9635,327,0.848,0.804,0.959,0.222,9,7.7,13.1,0.00034,0.277,100,22,0.07237
ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,"2,900",2.479,2.35,2.456,0.56,134,6.3,8.8,0.00252,0.478,95.52,20.769,0.52913
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,503,1.938,1.563,1.25,0.375,16,8.8,9.5,0.00023,0.224,87.5,10,0.04835
