Journal	JournalFullName	ISSN	2022IF	2022AI
ACTA ACUST	ACTA ACUSTICA	2681-4617	1.4	0.351
ACTA ADRIAT	ACTA ADRIATICA	0001-5113	0.9	0.21
ACTA AGR SCAND A-AN	ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	0906-4702	0.9	0.197
ACTA AGR SCAND B-S P	ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	0906-4710	1.6	0.257
ACTA AGROBOT	ACTA AGROBOTANICA	0065-0951	1.2	0.144
ACTA ALIMENT HUNG	ACTA ALIMENTARIA	0139-3006	1.1	0.125
ACTA AMAZON	ACTA AMAZONICA	0044-5967	0.8	0.245
ACTA ANAESTH BELG	ACTA ANAESTHESIOLOGICA BELGICA	0001-5164	0.0	0.028
ACTA ANAESTH SCAND	ACTA ANAESTHESIOLOGICA SCANDINAVICA	0001-5172	2.1	0.779
ACTA ANAL	ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION	0353-5150	0.4	0.264
ACTA ANGIOL	ACTA ANGIOLOGICA	1234-950X	0.2	0.05
ACTA APPL MATH	ACTA APPLICANDAE MATHEMATICAE	0167-8019	1.6	0.663
ACTA ARCHAEOL-DEN	ACTA ARCHAEOLOGICA	0065-101X	0.8	0.73
ACTA ARITH	ACTA ARITHMETICA	0065-1036	0.7	0.613
ACTA ASTRONAUT	ACTA ASTRONAUTICA	0094-5765	3.5	0.648
ACTA ASTRONOM	ACTA ASTRONOMICA	0001-5237	2.2	0.821
ACTA BALNEOL	ACTA BALNEOLOGICA	2082-1867	0.3	0.006
ACTA BALTICO-SLAV	ACTA BALTICO-SLAVICA	0065-1044	0.0	0.088
ACTA BIOCH BIOPH SIN	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	1672-9145	3.7	0.632
ACTA BIOCHIM POL	ACTA BIOCHIMICA POLONICA	0001-527X	1.7	0.298
ACTA BIOCLINICA	ACTA BIOCLINICA	2244-8136	0.1	0.011
ACTA BIOENG BIOMECH	ACTA OF BIOENGINEERING AND BIOMECHANICS	1509-409X	1.0	0.192
ACTA BIOETH	ACTA BIOETHICA	0717-5906	0.4	0.077
ACTA BIOL COLOMB	ACTA BIOLOGICA COLOMBIANA	0120-548X	0.6	0.116
ACTA BIOL CRACOV BOT	ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	0001-5296	1.3	0.1
ACTA BIOMATER	ACTA BIOMATERIALIA	1742-7061	9.7	1.499
ACTA BIOQUIM CLIN L	ACTA BIOQUIMICA CLINICA LATINOAMERICANA	0325-2957	0.1	0.019
ACTA BIOTHEOR	ACTA BIOTHEORETICA	0001-5342	1.3	0.277
ACTA BOREAL	ACTA BOREALIA	0800-3831	1.0	0.374
ACTA BOT BRAS	ACTA BOTANICA BRASILICA	0102-3306	1.1	0.337
ACTA BOT CROAT	ACTA BOTANICA CROATICA	0365-0588	1.3	0.246
ACTA BOT MEX	ACTA BOTANICA MEXICANA	2448-7589	0.8	0.171
ACTA BRAS	ACTA BRASILIENSIS	2526-432X	0.4	0.096
ACTA CARDIOL	ACTA CARDIOLOGICA	0001-5385	1.6	0.366
ACTA CARDIOL SIN	ACTA CARDIOLOGICA SINICA	1011-6842	1.9	0.337
ACTA CARSOLOGICA	ACTA CARSOLOGICA	0583-6050	0.7	0.181
ACTA CHEM IASI	ACTA CHEMICA IASI	2067-2438	0.5	0.07
ACTA CHIM SINICA	ACTA CHIMICA SINICA	0567-7351	2.5	0.237
ACTA CHIM SLOV	ACTA CHIMICA SLOVENICA	1318-0207	1.2	0.128
ACTA CHIM SLOVACA	ACTA CHIMICA SLOVACA	1337-978X	0.8	0.099
ACTA CHIR BELG	ACTA CHIRURGICA BELGICA	0001-5458	0.8	0.231
ACTA CHIR ORTHOP TR	ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	0001-5415	0.4	0.082
ACTA CHIROPTEROL	ACTA CHIROPTEROLOGICA	1508-1109	1.0	0.28
ACTA CHROMATOGR	ACTA CHROMATOGRAPHICA	1233-2356	1.9	0.19
ACTA CIR BRAS	ACTA CIRURGICA BRASILEIRA	0102-8650	1.1	0.195
ACTA CLASS	ACTA CLASSICA	0065-1141	0.2	0.196
ACTA CLIN BELG	ACTA CLINICA BELGICA	1784-3286	1.6	0.345
ACTA CLIN CROAT	ACTA CLINICA CROATICA	0353-9466	0.6	0.215
ACTA COLOMB PSICOL	ACTA COLOMBIANA DE PSICOLOGIA	0123-9155	0.6	0.126
ACTA COMMENT UNIV TA	ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA	1406-2283	0.3	0.152
ACTA CRYSTALLOGR A	ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES	2053-2733	1.8	0.721
ACTA CRYSTALLOGR B	ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS	2052-5206	1.9	0.486
ACTA CRYSTALLOGR C	ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	2053-2296	0.8	0.116
ACTA CRYSTALLOGR D	ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY	2059-7983	2.2	3.966
ACTA CRYSTALLOGR F	ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS	2053-230X	0.9	0.291
ACTA CYBERN	ACTA CYBERNETICA	0324-721X	0.4	0.152
ACTA CYTOL	ACTA CYTOLOGICA	0001-5547	1.8	0.521
ACTA DERMATOVEN ALP	ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA	1318-4458	1.2	0.23
ACTA DERMATOVENER CR	ACTA DERMATOVENEROLOGICA CROATICA	1330-027X	0.6	0.255
ACTA DERM-VENEREOL	ACTA DERMATO-VENEREOLOGICA	0001-5555	3.6	1.11
ACTA DIABETOL	ACTA DIABETOLOGICA	0940-5429	3.8	0.988
ACTA ENDOCRINOL-BUCH	ACTA ENDOCRINOLOGICA-BUCHAREST	1841-0987	1.0	0.193
ACTA ENT MUS NAT PRA	ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE	0374-1036	0.6	0.186
ACTA ETHOL	ACTA ETHOLOGICA	0873-9749	1.1	0.29
ACTA FAC MEDICAE NAI	ACTA FACULTATIS MEDICAE NAISSENSIS	0351-6083	0.2	0.055
ACTA FAC XYLOLOG ZVO	ACTA FACULTATIS XYLOLOGIAE ZVOLEN	1336-3824	1.0	0.091
ACTA GASTRO-ENT BELG	ACTA GASTRO-ENTEROLOGICA BELGICA	1784-3227	1.5	0.295
ACTA GEOCHIM	ACTA GEOCHIMICA	2096-0956	1.6	0.342
ACTA GEOD GEOPHYS	ACTA GEODAETICA ET GEOPHYSICA	2213-5812	1.4	0.287
ACTA GEODYN GEOMATER	ACTA GEODYNAMICA ET GEOMATERIALIA	1214-9705	0.9	0.18
ACTA GEOGR SLOV	ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK	1581-6613	1.7	0.229
ACTA GEOL POL	ACTA GEOLOGICA POLONICA	0001-5709	1.1	0.441
ACTA GEOL SIN-ENGL	ACTA GEOLOGICA SINICA-ENGLISH EDITION	1000-9515	3.3	0.678
ACTA GEOPHYS	ACTA GEOPHYSICA	1895-6572	2.3	0.41
ACTA GEOTECH	ACTA GEOTECHNICA	1861-1125	5.7	1.276
ACTA GEOTECH SLOV	ACTA GEOTECHNICA SLOVENICA	1854-0171	0.6	0.14
ACTA GER	ACTA GERMANICA-GERMAN STUDIES IN AFRICA	0065-1273	0.2	0.125
ACTA GYMNICA	ACTA GYMNICA	2336-4912	1.1	0.145
ACTA HAEMATOL-BASEL	ACTA HAEMATOLOGICA	0001-5792	2.4	0.549
ACTA HERPETOL	ACTA HERPETOLOGICA	1827-9635	0.8	0.187
ACTA HIST TALLINENSI	ACTA HISTORICA TALLINNENSIA	1406-2925	0.3	0.4
ACTA HIST U KLAIPDEN	ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS	1392-4095	0.0	0.0
ACTA HISTOCHEM	ACTA HISTOCHEMICA	0065-1281	2.5	0.446
ACTA HISTOCHEM CYTOC	ACTA HISTOCHEMICA ET CYTOCHEMICA	0044-5991	2.4	0.433
ACTA HISTRIAE	ACTA HISTRIAE	1318-0185	0.2	0.164
ACTA ICHTHYOL PISCAT	ACTA ICHTHYOLOGICA ET PISCATORIA	0137-1592	1.0	0.197
ACTA INFORM	ACTA INFORMATICA	0001-5903	0.6	0.467
ACTA KINESIOL	ACTA KINESIOLOGICA	1840-2976	0.3	0.038
ACTA KOREANA	ACTA KOREANA	1520-7412	0.2	0.303
ACTA LINGUIST ACAD	ACTA LINGUISTICA ACADEMICA	2559-8201	0.5	0.359
ACTA LIT	ACTA LITERARIA	0717-6848	0.1	0.243
ACTA LOGISTICA	ACTA LOGISTICA	1339-5629	0.7	0.0
ACTA MATER	ACTA MATERIALIA	1359-6454	9.4	2.047
ACTA MATH APPL SIN-E	ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES	0168-9673	0.8	0.213
ACTA MATH HUNG	ACTA MATHEMATICA HUNGARICA	0236-5294	0.9	0.47
ACTA MATH SCI	ACTA MATHEMATICA SCIENTIA	0252-9602	1.0	0.376
ACTA MATH SIN	ACTA MATHEMATICA SINICA-ENGLISH SERIES	1439-8516	0.7	0.45
ACTA MATH UNIV COMEN	ACTA MATHEMATICA UNIVERSITATIS COMENIANAE	0231-6986	0.7	0.328
ACTA MATH VIETNAM	ACTA MATHEMATICA VIETNAMICA	0251-4184	0.5	0.327
ACTA MATH-DJURSHOLM	ACTA MATHEMATICA	0001-5962	3.7	8.289
ACTA MECH	ACTA MECHANICA	0001-5970	2.7	0.442
ACTA MECH AUTOMATICA	ACTA MECHANICA ET AUTOMATICA	1898-4088	0.7	0.108
ACTA MECH SINICA-PRC	ACTA MECHANICA SINICA	0567-7718	3.5	0.54
ACTA MECH SOLIDA SIN	ACTA MECHANICA SOLIDA SINICA	0894-9166	2.2	0.378
ACTA MED INDONES	ACTA MEDICA INDONESIANA	0125-9326	1.4	0.289
ACTA MED OKAYAMA	ACTA MEDICA OKAYAMA	0386-300X	0.5	0.153
ACTA MED-HIST ADRIAT	ACTA MEDICO-HISTORICA ADRIATICA	1334-4366	0.2	0.125
ACTA MEDICA MEDITERR	ACTA MEDICA MEDITERRANEA	0393-6384	0.3	0.034
ACTA MEDICA PORT	ACTA MEDICA PORTUGUESA	0870-399X	1.2	0.255
ACTA METALL SIN	ACTA METALLURGICA SINICA	0412-1961	2.3	0.247
ACTA METALL SIN-ENGL	ACTA METALLURGICA SINICA-ENGLISH LETTERS	1006-7191	3.5	0.439
