Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
AATCC REVIEW,AATCC REV,UNITED STATES,X,,,
AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,AB IMP,UNITED STATES,,,X,
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,ABACUS,AUSTRALIA,,X,,
ABAKOS,ABAKOS,BRAZIL,,,,X
ABANICO VETERINARIO,ABANICO VET,MEXICO,,,,X
ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY,ABCD-ARQ BRAS CIR DI,BRAZIL,,,,X
ABDOMINAL RADIOLOGY,ABDOM RADIOL,UNITED STATES,X,,,
ABE JOURNAL,ABE J,FRANCE,,,,X
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,GERMANY,X,,,
ABIOTECH,ABIOTECH,PEOPLES R CHINA,,,,X
ABORIGINAL HISTORY,ABORIG HIST,AUSTRALIA,,,,X
ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL,ABRIU-ESTUD TEXTUAL,SPAIN,,,,X
ACADEMIA Y VIRTUALIDAD,ACAD VIRTUALIDAD,COLOMBIA,,,,X
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,ACAD-REV LATINOAM AD,COLOMBIA,,X,,
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,UNITED STATES,X,,,
ACADEMIC JOURNAL OF MODERN PHILOLOGY,ACAD J MOD PHILOL,POLAND,,,,X
ACADEMIC MEDICINE,ACAD MED,UNITED STATES,X,,,
ACADEMIC PATHOLOGY,ACAD PATHOL,UNITED STATES,,,,X
ACADEMIC PEDIATRICS,ACAD PEDIATR,UNITED STATES,X,,,
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,UNITED STATES,,X,,
ACADEMIC RADIOLOGY,ACAD RADIOL,UNITED STATES,X,,,
ACADEMY OF MANAGEMENT ANNALS,ACAD MANAG ANN,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT DISCOVERIES,ACAD MANAG DISCOV,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,ACAD MANAG LEARN EDU,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT PERSPECTIVES,ACAD MANAGE PERSPECT,UNITED STATES,,X,,
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,UNITED STATES,,X,,
ACADEMY REVIEW,ACAD REV,UKRAINE,,,,X
ACADIENSIS,ACADIENSIS,CANADA,,,X,
ACAROLOGIA,ACAROLOGIA,FRANCE,X,,,
ACCESS TO JUSTICE IN EASTERN EUROPE,ACCESS JUSTICE E EUR,UKRAINE,,,,X
ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY,ACCESS-ACCESS SCI BU,BULGARIA,,,,X
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,ENGLAND,,X,,
ACCION PSICOLOGICA,ACCION PSICOL,SPAIN,,,,X
ACCIONES E INVESTIGACIONES SOCIALES,ACCIONES INVEST SOC,SPAIN,,,,X
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,ACCOUNT RES,UNITED STATES,X,,,
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,ENGLAND,,X,,
ACCOUNTING AND FINANCE,ACCOUNT FINANC,AUSTRALIA,,X,,
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,ACCOUNT AUDIT ACCOUN,ENGLAND,,X,,
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,ACCOUNT ECON LAW,GERMANY,,,,X
ACCOUNTING EDUCATION,ACCOUNT EDUC,ENGLAND,,,,X
ACCOUNTING FORUM,ACCOUNT FORUM,ENGLAND,,X,,
ACCOUNTING HISTORIANS JOURNAL,ACCOUNT HIST J,UNITED STATES,,,,X
ACCOUNTING HISTORY,ACCOUNT HIST,NETHERLANDS,,,,X
ACCOUNTING HISTORY REVIEW,ACCOUNT HIST REV,UNITED STATES,,,,X
ACCOUNTING HORIZONS,ACCOUNT HORIZ,UNITED STATES,,X,,
ACCOUNTING IN EUROPE,ACCOUNT EUR,ENGLAND,,,,X
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,ENGLAND,,X,,
ACCOUNTING PERSPECTIVES,ACCOUNT PERSPECT,UNITED STATES,,,,X
ACCOUNTING RESEARCH JOURNAL,ACCOUNT RES J,ENGLAND,,,,X
ACCOUNTING REVIEW,ACCOUNT REV,UNITED STATES,,X,,
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,UNITED STATES,X,,,
ACCOUNTS OF MATERIALS RESEARCH,ACCOUNTS MATER RES,PEOPLES R CHINA,,,,X
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,GERMANY,X,,,
ACE-ARCHITECTURE CITY AND ENVIRONMENT,ACE-ARCHIT CITY ENVI,SPAIN,,,,X
ACERVO,ACERVO-BRAZIL,BRAZIL,,,,X
ACG CASE REPORTS JOURNAL,ACG CASE REP J,UNITED STATES,,,,X
ACI MATERIALS JOURNAL,ACI MATER J,UNITED STATES,X,,,
ACI STRUCTURAL JOURNAL,ACI STRUCT J,UNITED STATES,X,,,
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,ACM COMMUN COMPUT AL,UNITED STATES,,,,X
ACM COMPUTING SURVEYS,ACM COMPUT SURV,UNITED STATES,X,,,
ACM JOURNAL OF DATA AND INFORMATION QUALITY,ACM J DATA INF QUAL,UNITED STATES,,,,X
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ACM J COMPUT CULT HE,UNITED STATES,X,,X,
ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,ACM J EMERG TECH COM,UNITED STATES,X,,,
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,UNITED STATES,X,,,
ACM SIGECOM EXCHANGES,ACM SIGECOM EXCH,UNITED STATES,,,,X
ACM TRANSACTIONS ON ACCESSIBLE COMPUTING,ACM T ACCESS COMPUT,UNITED STATES,,,,X
ACM TRANSACTIONS ON ALGORITHMS,ACM T ALGORITHMS,UNITED STATES,X,,,
ACM TRANSACTIONS ON APPLIED PERCEPTION,ACM T APPL PERCEPT,UNITED STATES,X,,,
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,UNITED STATES,X,,,
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,UNITED STATES,X,,,
ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,ACM T AUTON ADAP SYS,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTATION THEORY,ACM T COMPUT THEORY,UNITED STATES,,,,X
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,UNITED STATES,X,,,
ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE,ACM T COMPUT HEALTHC,UNITED STATES,,,,X
ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS,ACM TRANS CYBER-PHYS,UNITED STATES,,,,X
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,UNITED STATES,X,,,
ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION,ACM T ECON COMPUT,UNITED STATES,,,,X
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,UNITED STATES,X,,,
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,UNITED STATES,X,,,
ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION,ACM T HUM-ROBOT INTE,UNITED STATES,,,,X
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,ACM T INTERACT INTEL,UNITED STATES,X,,,
ACM TRANSACTIONS ON INTERNET OF THINGS,ACM T INTERNET THING,UNITED STATES,,,,X
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,UNITED STATES,X,,,
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,UNITED STATES,X,,,
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,ACM TRANS MANAG INF,UNITED STATES,,,,X
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,UNITED STATES,X,,,
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,UNITED STATES,X,,,
ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS,ACM TRANS MODELING P,UNITED STATES,,,,X
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,UNITED STATES,X,,,
ACM TRANSACTIONS ON PARALLEL COMPUTING,ACM TRANS PARALLEL C,UNITED STATES,,,,X
ACM TRANSACTIONS ON PRIVACY AND SECURITY,ACM T PRIV SECUR,UNITED STATES,X,,,
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,UNITED STATES,X,,,
ACM TRANSACTIONS ON QUANTUM COMPUTING,ACM T QUANTUM COMPUT,UNITED STATES,,,,X
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,UNITED STATES,X,,,
ACM TRANSACTIONS ON SENSOR NETWORKS,ACM T SENSOR NETWORK,UNITED STATES,X,,,
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,UNITED STATES,X,,,
ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS,ACM TRANS SPAT ALGOR,UNITED STATES,,,,X
ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,UNITED STATES,X,,,
ACM TRANSACTIONS ON THE WEB,ACM T WEB,UNITED STATES,X,,,
ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,ACME-ANN FAC STUDI U,ITALY,,,,X
ACOUSTICAL PHYSICS,ACOUST PHYS+,RUSSIA,X,,,
ACOUSTICAL SCIENCE AND TECHNOLOGY,ACOUST SCI TECHNOL,JAPAN,,,,X
ACOUSTICS,ACOUSTICS-BASEL,SWITZERLAND,,,,X
ACOUSTICS AUSTRALIA,ACOUST AUST,AUSTRALIA,X,,,
ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER,ACQUE SOTTER,ITALY,,,,X
ACR OPEN RHEUMATOLOGY,ACR OPEN RHEUMATOL,UNITED STATES,,,,X
ACROSS LANGUAGES AND CULTURES,ACROSS LANG CULT,HUNGARY,,X,X,
ACS AGRICULTURAL SCIENCE & TECHNOLOGY,ACS AGR SCI TECHNOL,UNITED STATES,,,,X
ACS APPLIED BIO MATERIALS,ACS APPL BIO MATER,UNITED STATES,,,,X
ACS APPLIED ELECTRONIC MATERIALS,ACS APPL ELECTRON MA,UNITED STATES,X,,,
ACS APPLIED ENERGY MATERIALS,ACS APPL ENERG MATER,UNITED STATES,X,,,
ACS APPLIED ENGINEERING MATERIALS,ACS APPL ENG MATER,UNITED STATES,,,,X
ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,UNITED STATES,X,,,
ACS APPLIED NANO MATERIALS,ACS APPL NANO MATER,UNITED STATES,X,,,
ACS APPLIED OPTICAL MATERIALS,ACS APPL OPT MATER,UNITED STATES,,,,X
ACS APPLIED POLYMER MATERIALS,ACS APPL POLYM MATER,UNITED STATES,X,,,
ACS BIO & MED CHEM AU,ACS BIO MED CHEM AU,UNITED STATES,,,,X
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,UNITED STATES,X,,,
ACS CATALYSIS,ACS CATAL,UNITED STATES,X,,,
ACS CENTRAL SCIENCE,ACS CENTRAL SCI,UNITED STATES,X,,,
ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,UNITED STATES,X,,,
ACS CHEMICAL HEALTH & SAFETY,ACS CHEM HEALTH SAFE,UNITED STATES,,,,X
ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,UNITED STATES,X,,,
ACS EARTH AND SPACE CHEMISTRY,ACS EARTH SPACE CHEM,UNITED STATES,X,,,
ACS ENERGY LETTERS,ACS ENERGY LETT,UNITED STATES,X,,,
ACS ENGINEERING AU,ACS ENG AU,UNITED STATES,,,,X
ACS ENVIRONMENTAL AU,ACS ENVIRON AU,UNITED STATES,,,,X
ACS ES&T ENGINEERING,ACS EST ENG,UNITED STATES,,,,X
ACS ES&T WATER,ACS EST WATER,UNITED STATES,,,,X
ACS FOOD SCIENCE & TECHNOLOGY,ACS FOOD SCI TECHNOL,UNITED STATES,,,,X
ACS INFECTIOUS DISEASES,ACS INFECT DIS,UNITED STATES,X,,,
ACS MACRO LETTERS,ACS MACRO LETT,UNITED STATES,X,,,
ACS MATERIALS AU,ACS MATER AU,UNITED STATES,,,,X
ACS MATERIALS LETTERS,ACS MATER LETT,UNITED STATES,X,,,
ACS MEASUREMENT SCIENCE AU,ACS MEAS SCI AU,UNITED STATES,,,,X
ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,UNITED STATES,X,,,
ACS NANO,ACS NANO,UNITED STATES,X,,,
ACS NANOSCIENCE AU,ACS NANOSCI AU,UNITED STATES,,,,X
ACS OMEGA,ACS OMEGA,UNITED STATES,X,,,
ACS ORGANIC & INORGANIC AU,ACS ORG INORG AU,UNITED STATES,,,,X
ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE,ACS PHARMACOL TRANSL,UNITED STATES,,,,X
ACS PHOTONICS,ACS PHOTONICS,UNITED STATES,X,,,
ACS PHYSICAL CHEMISTRY AU,ACS PHYS CHEM AU,UNITED STATES,,,,X
ACS POLYMERS AU,ACS POLYM AU,UNITED STATES,,,,X
ACS SENSORS,ACS SENSORS,UNITED STATES,X,,,
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,UNITED STATES,X,,,
ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,UNITED STATES,X,,,
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,UNITED STATES,X,,,
ACTA ACUSTICA,ACTA ACUST,FRANCE,X,,,
ACTA ADRIATICA,ACTA ADRIAT,CROATIA,X,,,
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,NORWAY,X,,,
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,NORWAY,X,,,
ACTA AGROBOTANICA,ACTA AGROBOT,POLAND,,,,X
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,HUNGARY,X,,,
ACTA AMAZONICA,ACTA AMAZON,BRAZIL,X,,,
ACTA ANAESTHESIOLOGICA BELGICA,ACTA ANAESTH BELG,BELGIUM,,,,X
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,DENMARK,X,,,
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,ACTA ANAL,NETHERLANDS,,,X,
ACTA ANGIOLOGICA,ACTA ANGIOL,POLAND,,,,X
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,NETHERLANDS,X,,,
ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,UNITED STATES,,,X,
ACTA ARITHMETICA,ACTA ARITH,POLAND,X,,,
ACTA ASTRONAUTICA,ACTA ASTRONAUT,UNITED STATES,X,,,
ACTA ASTRONOMICA,ACTA ASTRONOM,POLAND,X,,,
ACTA BALNEOLOGICA,ACTA BALNEOL,POLAND,,,,X
ACTA BALTICO-SLAVICA,ACTA BALTICO-SLAV,POLAND,,,,X
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,PEOPLES R CHINA,X,,,
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,POLAND,X,,,
ACTA BIOCLINICA,ACTA BIOCLINICA,VENEZUELA,,,,X
ACTA BIOETHICA,ACTA BIOETH,CHILE,X,X,,
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,COLOMBIA,X,,,
ACTA BIOMATERIALIA,ACTA BIOMATER,ENGLAND,X,,,
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,ARGENTINA,X,,,
ACTA BIOTHEORETICA,ACTA BIOTHEOR,NETHERLANDS,X,,,
ACTA BOREALIA,ACTA BOREAL,ENGLAND,,,X,
ACTA BOTANICA BRASILICA,ACTA BOT BRAS,BRAZIL,X,,,
ACTA BOTANICA CROATICA,ACTA BOT CROAT,CROATIA,X,,,
ACTA BOTANICA MEXICANA,ACTA BOT MEX,MEXICO,X,,,
ACTA CARDIOLOGICA,ACTA CARDIOL,BELGIUM,X,,,
ACTA CARDIOLOGICA SINICA,ACTA CARDIOL SIN,TAIWAN,X,,,
ACTA CARSOLOGICA,ACTA CARSOLOGICA,SLOVENIA,X,,,
ACTA CHEMICA IASI,ACTA CHEM IASI,ROMANIA,,,,X
ACTA CHIMICA SINICA,ACTA CHIM SINICA,PEOPLES R CHINA,X,,,
ACTA CHIMICA SLOVACA,ACTA CHIM SLOVACA,SLOVAKIA,,,,X
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,SLOVENIA,X,,,
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,POLAND,X,,,
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ACTA CHIR ORTHOP TR,CZECH REPUBLIC,X,,,
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,ENGLAND,X,,,
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,POLAND,X,,,
ACTA CIRURGICA BRASILEIRA,ACTA CIR BRAS,BRAZIL,X,,,
ACTA CLASSICA,ACTA CLASS,SOUTH AFRICA,,,X,
ACTA CLINICA BELGICA,ACTA CLIN BELG,ENGLAND,X,,,
ACTA CLINICA CROATICA,ACTA CLIN CROAT,CROATIA,X,,,
ACTA COLOMBIANA DE PSICOLOGIA,ACTA COLOMB PSICOL,COLOMBIA,,,,X
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,ENGLAND,X,,,
ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS,ACTA CRYSTALLOGR E,ENGLAND,,,,X
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,DENMARK,X,,,
ACTA CYBERNETICA,ACTA CYBERN,HUNGARY,,,,X
ACTA CYTOLOGICA,ACTA CYTOL,NEW ZEALAND,X,,,
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,NORWAY,X,,,
ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA,ACTA DERMATOVEN ALP,SLOVENIA,,,,X
ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,CROATIA,X,,,
ACTA DIABETOLOGICA,ACTA DIABETOL,ITALY,X,,,
ACTA ECOLOGICA SINICA,ACTA ECOL SINICA,PEOPLES R CHINA,,,,X
ACTA ENDOCRINOLOGICA-BUCHAREST,ACTA ENDOCRINOL-BUCH,ROMANIA,X,,,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,CZECH REPUBLIC,X,,,
ACTA EPILEPTOLOGICA,ACTA EPILEPTOL,PEOPLES R CHINA,,,,X
ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA,ACTA COMMENT UNIV TA,ESTONIA,,,,X
ACTA ETHOLOGICA,ACTA ETHOL,GERMANY,X,,,
ACTA FACULTATIS MEDICAE NAISSENSIS,ACTA FAC MEDICAE NAI,SERBIA,,,,X
ACTA FACULTATIS XYLOLOGIAE ZVOLEN,ACTA FAC XYLOLOG ZVO,SLOVAKIA,,,,X
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,BELGIUM,X,,,
ACTA GEOCHIMICA,ACTA GEOCHIM,PEOPLES R CHINA,,,,X
ACTA GEODAETICA ET GEOPHYSICA,ACTA GEOD GEOPHYS,HUNGARY,X,,,
ACTA GEODYNAMICA ET GEOMATERIALIA,ACTA GEODYN GEOMATER,CZECH REPUBLIC,X,,,
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,ACTA GEOGR SLOV,SLOVENIA,X,,,
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,POLAND,X,,,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,PEOPLES R CHINA,X,,,
ACTA GEOPHYSICA,ACTA GEOPHYS,POLAND,X,,,
ACTA GEOTECHNICA,ACTA GEOTECH,GERMANY,X,,,
ACTA GERMANICA-GERMAN STUDIES IN AFRICA,ACTA GER,SOUTH AFRICA,,,,X
ACTA GYMNICA,ACTA GYMNICA,CZECH REPUBLIC,,,,X
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,SWITZERLAND,X,,,
ACTA HAEMATOLOGICA POLONICA,ACTA HAEMATOL POL,POLAND,,,,X
ACTA HERPETOLOGICA,ACTA HERPETOL,ITALY,X,,,
ACTA HISTOCHEMICA,ACTA HISTOCHEM,GERMANY,X,,,
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,JAPAN,X,,,
ACTA HISTORICA TALLINNENSIA,ACTA HIST TALLINENSI,ESTONIA,,,X,
ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS,ACTA HIST U KLAIPDEN,LITHUANIA,,,,X
ACTA HISTRIAE,ACTA HISTRIAE,SLOVENIA,,X,X,
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,BULGARIA,X,,,
ACTA IMEKO,ACTA IMEKO,HUNGARY,,,,X
ACTA INFOLOGICA,ACTA INFOLOGICA,TURKIYE,,,,X
ACTA INFORMATICA,ACTA INFORM,GERMANY,X,,,
ACTA INFORMATICA PRAGENSIA,ACTA INFORM PRAG,CZECH REPUBLIC,,,,X
ACTA KINESIOLOGICA,ACTA KINESIOL,CROATIA,,,,X
ACTA KOREANA,ACTA KOREANA,SOUTH KOREA,,,X,
ACTA LINGUISTICA ACADEMICA,ACTA LINGUIST ACAD,HUNGARY,,X,X,
ACTA LITERARIA,ACTA LIT,CHILE,,,X,
ACTA LOGISTICA,ACTA LOGISTICA,SLOVAKIA,,,,X
ACTA MATERIALIA,ACTA MATER,UNITED STATES,X,,,
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,SWEDEN,X,,,
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,HUNGARY,X,,,
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,PEOPLES R CHINA,X,,,
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,PEOPLES R CHINA,X,,,
ACTA MATHEMATICA UNIVERSITATIS COMENIANAE,ACTA MATH UNIV COMEN,SLOVAKIA,,,,X
ACTA MATHEMATICA VIETNAMICA,ACTA MATH VIETNAM,VIETNAM,,,,X
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,PEOPLES R CHINA,X,,,
ACTA MECHANICA,ACTA MECH,AUSTRIA,X,,,
ACTA MECHANICA ET AUTOMATICA,ACTA MECH AUTOMATICA,POLAND,,,,X
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,PEOPLES R CHINA,X,,,
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,PEOPLES R CHINA,X,,,
ACTA MEDICA INDONESIANA,ACTA MED INDONES,INDONESIA,,,,X
