JournalFullName,ISSN,2022IF,2022AI,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,0374-1036,0.6,0.186,
ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA,1406-2283,0.3,0.152,
ACTA ETHOLOGICA,0873-9749,1.1,0.29,
ACTA FACULTATIS MEDICAE NAISSENSIS,0351-6083,0.2,0.055,
ACTA FACULTATIS XYLOLOGIAE ZVOLEN,1336-3824,1,0.091,
ACTA GASTRO-ENTEROLOGICA BELGICA,1784-3227,1.5,0.295,
ACTA GEOCHIMICA,2096-0956,1.6,0.342,
ACTA GEODAETICA ET GEOPHYSICA,2213-5812,1.4,0.287,
ACTA GEODYNAMICA ET GEOMATERIALIA,1214-9705,0.9,0.18,
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,1581-6613,1.7,0.229,
ACTA GEOLOGICA POLONICA,0001-5709,1.1,0.441,
ACTA GEOLOGICA SINICA-ENGLISH EDITION,1000-9515,3.3,0.678,
ACTA GEOPHYSICA,1895-6572,2.3,0.41,
ACTA GEOTECHNICA,1861-1125,5.7,1.276,
ACTA GEOTECHNICA SLOVENICA,1854-0171,0.6,0.14,
ACTA GERMANICA-GERMAN STUDIES IN AFRICA,0065-1273,0.2,0.125,
ACTA GYMNICA,2336-4912,1.1,0.145,
ACTA HAEMATOLOGICA,0001-5792,2.4,0.549,
ACTA HERPETOLOGICA,1827-9635,0.8,0.187,
ACTA HISTOCHEMICA,0065-1281,2.5,0.446,
ACTA HISTOCHEMICA ET CYTOCHEMICA,0044-5991,2.4,0.433,
ACTA HISTORICA TALLINNENSIA,1406-2925,0.3,0.4,
ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS,1392-4095,0,0,
ACTA HISTRIAE,1318-0185,0.2,0.164,
ACTA ICHTHYOLOGICA ET PISCATORIA,0137-1592,1,0.197,
ACTA INFORMATICA,0001-5903,0.6,0.467,
ACTA KINESIOLOGICA,1840-2976,0.3,0.038,
ACTA KOREANA,1520-7412,0.2,0.303,
ACTA LINGUISTICA ACADEMICA,2559-8201,0.5,0.359,
ACTA LITERARIA,0717-6848,0.1,0.243,
ACTA LOGISTICA,1339-5629,0.7,0,
ACTA MATERIALIA,1359-6454,9.4,2.047,
ACTA MATHEMATICA,0001-5962,3.7,8.289,
ACTA MATHEMATICA HUNGARICA,0236-5294,0.9,0.47,
ACTA MATHEMATICA SCIENTIA,0252-9602,1,0.376,
ACTA MATHEMATICA SINICA-ENGLISH SERIES,1439-8516,0.7,0.45,
ACTA MATHEMATICA UNIVERSITATIS COMENIANAE,0231-6986,0.7,0.328,
ACTA MATHEMATICA VIETNAMICA,0251-4184,0.5,0.327,
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,0168-9673,0.8,0.213,
ACTA MECHANICA,0001-5970,2.7,0.442,
ACTA MECHANICA ET AUTOMATICA,1898-4088,0.7,0.108,
ACTA MECHANICA SINICA,0567-7718,3.5,0.54,
ACTA MECHANICA SOLIDA SINICA,0894-9166,2.2,0.378,
ACTA MEDICA INDONESIANA,0125-9326,1.4,0.289,
ACTA MEDICA MEDITERRANEA,0393-6384,0.3,0.034,
ACTA MEDICA OKAYAMA,0386-300X,0.5,0.153,
ACTA MEDICA PORTUGUESA,0870-399X,1.2,0.255,
ACTA MEDICO-HISTORICA ADRIATICA,1334-4366,0.2,0.125,
ACTA METALLURGICA SINICA,0412-1961,2.3,0.247,
ACTA METALLURGICA SINICA-ENGLISH LETTERS,1006-7191,3.5,0.439,
ACTA METALLURGICA SLOVACA,1335-1532,1,0.086,
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1217-8950,1.5,0.292,
ACTA MISSIOLOGICA,2453-7160,0.6,0.08,
ACTA MONTANISTICA SLOVACA,1335-1788,1.6,0.145,
ACTA MUSICOLOGICA,0001-6241,0.2,0.292,
ACTA NATURAE,2075-8251,2,0.4,
ACTA NEOPHILOLOGICA,0567-784X,0.3,0.222,
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,0065-1400,1.4,0.327,
ACTA NEUROCHIRURGICA,0001-6268,2.4,0.645,
ACTA NEUROLOGICA BELGICA,0300-9009,2.7,0.564,
ACTA NEUROLOGICA SCANDINAVICA,0001-6314,3.5,0.878,
ACTA NEUROPATHOLOGICA,0001-6322,12.7,5.472,
ACTA NEUROPATHOLOGICA COMMUNICATIONS,2051-5960,7.1,2.355,
ACTA NEUROPSYCHIATRICA,1601-5215,3.8,0.864,
ACTA NEUROPSYCHOLOGICA,1730-7503,0.7,0.07,
ACTA NUMERICA,0962-4929,14.2,10.646,
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,0001-6349,4.3,1.274,
ACTA OCEANOLOGICA SINICA,0253-505X,1.4,0.314,
ACTA ODONTOLOGICA SCANDINAVICA,0001-6357,2,0.427,
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,1146-609X,1.8,0.416,
ACTA OECONOMICA,0001-6373,0.8,0.111,
ACTA OF BIOENGINEERING AND BIOMECHANICS,1509-409X,1,0.192,
ACTA ONCOLOGICA,0284-186X,3.1,1.109,
ACTA OPHTHALMOLOGICA,1755-375X,3.4,0.892,
ACTA OPTICA SINICA,0253-2239,1.6,0,
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,1588-2667,0.2,0.241,
ACTA ORNITHOLOGICA,0001-6454,0.7,0.246,
ACTA ORTHOPAEDICA,1745-3674,3.7,1.397,
ACTA ORTHOPAEDICA BELGICA,0001-6462,0.4,0.133,
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,1017-995X,1,0.401,
ACTA ORTOPEDICA BRASILEIRA,1413-7852,0.7,0.18,
ACTA OTO-LARYNGOLOGICA,0001-6489,1.4,0.383,
ACTA OTO-LARYNGOLOGICA CASE REPORTS,2377-2484,0.1,0.081,
ACTA OTORHINOLARYNGOLOGICA ITALICA,0392-100X,2,0.56,
ACTA OTORRINOLARINGOLOGICA ESPANOLA,0001-6519,1,0.284,
ACTA PAEDIATRICA,0803-5253,3.8,0.908,
ACTA PALAEONTOLOGICA POLONICA,0567-7920,1.8,0.593,
ACTA PARASITOLOGICA,1230-2821,1.5,0.308,
ACTA PAULISTA DE ENFERMAGEM,0103-2100,0.7,0.17,
ACTA PEDIATRICA DE MEXICO,0186-2391,0.3,0.05,
ACTA PETROLOGICA SINICA,1000-0569,1.8,0.424,
ACTA PHARMACEUTICA,1330-0075,2.8,0.31,
ACTA PHARMACEUTICA SINICA B,2211-3835,14.5,2.078,
ACTA PHARMACOLOGICA SINICA,1671-4083,8.2,1.343,
ACTA PHILOSOPHICA,1121-2179,0.1,0.014,
ACTA PHLEBOLOGICA,1593-232X,0.3,0.05,
ACTA PHOTONICA SINICA,1004-4213,0.6,0.049,
ACTA PHYSICA POLONICA A,0587-4246,0.7,0.111,
ACTA PHYSICA POLONICA B,0587-4254,0.5,0.143,
ACTA PHYSICA SINICA,1000-3290,1,0.107,
ACTA PHYSICO-CHIMICA SINICA,1000-6818,10.9,0.779,
ACTA PHYSIOLOGIAE PLANTARUM,0137-5881,2.6,0.385,
ACTA PHYSIOLOGICA,1748-1708,6.3,1.286,
ACTA PHYTOTAXONOMICA ET GEOBOTANICA,1346-7565,0.5,0.122,
ACTA POETICA,0185-3082,0,0,
ACTA POLITICA,0001-6810,1.2,0.849,
ACTA POLONIAE HISTORICA,0001-6829,0.1,0.447,
ACTA POLONIAE PHARMACEUTICA,0001-6837,0.4,0.061,
ACTA POLYMERICA SINICA,1000-3304,1.9,0.158,
ACTA POLYTECHNICA,1210-2709,0.8,0.107,
ACTA POLYTECHNICA HUNGARICA,1785-8860,1.7,0.17,
ACTA PROTOZOOLOGICA,0065-1583,0.5,0.196,
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,0001-6896,0.1,0.021,
ACTA PSYCHIATRICA SCANDINAVICA,0001-690X,6.7,2.604,
ACTA PSYCHOLOGICA,0001-6918,1.8,0.571,
ACTA PSYCHOLOGICA SINICA,0439-755X,1.5,0,
ACTA RADIOLOGICA,0284-1851,1.3,0.365,
ACTA RADIOLOGICA OPEN,2058-4601,1.1,0.341,
ACTA REUMATOLOGICA PORTUGUESA,0303-464X,1,0.357,
ACTA SCIENTIAE VETERINARIAE,1678-0345,0.2,0.07,
ACTA SCIENTIARUM MATHEMATICARUM,0001-6969,0.5,0.323,
ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS,1644-0765,0.4,0.067,
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,1644-0692,0.7,0.118,
ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA,1644-0730,1.5,0.213,
ACTA SCIENTIARUM-AGRONOMY,1807-8621,1.5,0.26,
ACTA SCIENTIARUM-HEALTH SCIENCES,1679-9291,0.2,0.041,
ACTA SCIENTIARUM-TECHNOLOGY,1806-2563,0.8,0.123,
ACTA SILVAE ET LIGNI,2335-3112,0.6,0.054,
ACTA SOCIETATIS BOTANICORUM POLONIAE,0001-6977,1,0.227,
ACTA SOCIOLOGICA,0001-6993,1.7,0.853,
ACTA STOMATOLOGICA CROATICA,0001-7019,1.4,0.231,
ACTA STRUCTILIA,1023-0564,0.7,0.105,
ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING,1221-5872,0.3,0.024,
ACTA TECHNOLOGICA AGRICULTURAE,1335-2555,1.4,0.111,
ACTA THEOLOGICA,1015-8758,0.2,0.12,
ACTA TROPICA,0001-706X,2.7,0.577,
ACTA TURISTICA,0353-4316,0.8,0.107,
ACTA UNIVERSITATIS CAROLINAE THEOLOGICA,1804-5588,0,0,
ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA,1844-6086,0.3,0.135,
ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES,2065-5924,0.1,0.003,
ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA,1844-6094,0.5,0.154,
ACTA VETERINARIA BRNO,0001-7213,0.6,0.103,
ACTA VETERINARIA EURASIA,2618-639X,0.4,0.063,
ACTA VETERINARIA HUNGARICA,0236-6290,0.9,0.214,
ACTA VETERINARIA SCANDINAVICA,0044-605X,2.1,0.471,
ACTA VETERINARIA-BEOGRAD,0567-8315,0.6,0.144,
ACTA VIROLOGICA,0001-723X,1.7,0.242,
ACTA ZOOLOGICA,0001-7272,1.2,0.258,
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,1217-8837,0.8,0.206,
