Journal	JournalFullName	ISSN	2024IF	2024AI
ACAD MANAG LEARN EDU	ACADEMY OF MANAGEMENT LEARNING & EDUCATION	1537-260X	5.2	1.945
ACAD MANAGE J	ACADEMY OF MANAGEMENT JOURNAL	0001-4273	10.5	7.788
ACAD MANAGE PERSPECT	ACADEMY OF MANAGEMENT PERSPECTIVES	1558-9080	5.7	3.609
ACAD MANAGE REV	ACADEMY OF MANAGEMENT REVIEW	0363-7425	13.9	10.194
ACAD MED	ACADEMIC MEDICINE	1040-2446	5.2	2.197
ACAD PATHOL	ACADEMIC PATHOLOGY	2374-2895	1.3	0.39
ACAD PEDIATR	ACADEMIC PEDIATRICS	1876-2859	2.8	1.184
ACAD PSYCHIATR	ACADEMIC PSYCHIATRY	1042-9670	2.8	0.722
ACAD RADIOL	ACADEMIC RADIOLOGY	1076-6332	3.9	0.89
ACAD REV	ACADEMY REVIEW	2074-5354	0.2	0.0
ACAD VIRTUALIDAD	ACADEMIA Y VIRTUALIDAD	2011-0731	0.1	0.069
ACADIENSIS	ACADIENSIS	0044-5851	0.2	0.121
ACAD-REV LATINOAM AD	ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION	1012-8255	1.4	0.209
ACAROLOGIA	ACAROLOGIA	0044-586X	1.1	0.288
ACCESS JUSTICE E EUR	ACCESS TO JUSTICE IN EASTERN EUROPE	2663-0575	0.5	0.083
ACCESS-ACCESS SCI BU	ACCESS-ACCESS TO SCIENCE BUSINESS INNOVATION IN THE DIGITAL ECONOMY	N/A	0.6	0.046
ACCIDENT ANAL PREV	ACCIDENT ANALYSIS AND PREVENTION	0001-4575	6.2	1.426
ACCION PSICOL	ACCION PSICOLOGICA	1578-908X	0.6	0.102
ACCIONES INVEST SOC	ACCIONES E INVESTIGACIONES SOCIALES	1132-192X	0.3	0.062
ACCOUNT AUDIT ACCOUN	ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL	0951-3574	3.4	1.151
ACCOUNT BUS RES	ACCOUNTING AND BUSINESS RESEARCH	0001-4788	1.4	0.688
ACCOUNT ECON LAW	ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM	2194-6051	0.8	0.266
ACCOUNT EDUC	ACCOUNTING EDUCATION	0963-9284	2.3	0.484
ACCOUNT EUR	ACCOUNTING IN EUROPE	1744-9480	4.3	0.624
ACCOUNT FINANC	ACCOUNTING AND FINANCE	0810-5391	2.6	0.854
ACCOUNT FORUM	ACCOUNTING FORUM	0155-9982	3.4	0.745
ACCOUNT HIST	ACCOUNTING HISTORY	1032-3732	0.9	0.31
ACCOUNT HIST J	ACCOUNTING HISTORIANS JOURNAL	0148-4184	1.0	0.077
ACCOUNT HIST REV	ACCOUNTING HISTORY REVIEW	2155-2851	1.3	0.345
ACCOUNT HORIZ	ACCOUNTING HORIZONS	0888-7993	2.2	1.022
ACCOUNT ORG SOC	ACCOUNTING ORGANIZATIONS AND SOCIETY	0361-3682	4.0	1.963
ACCOUNT PERSPECT	ACCOUNTING PERSPECTIVES	1911-382X	0.9	0.388
ACCOUNT RES	ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY	0898-9621	4.0	1.035
ACCOUNT RES J	ACCOUNTING RESEARCH JOURNAL	1030-9616	2.1	0.335
ACCOUNT REV	ACCOUNTING REVIEW	0001-4826	4.4	3.584
ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	17.7	4.887
ACCOUNTS MATER RES	ACCOUNTS OF MATERIALS RESEARCH	N/A	14.7	3.546
ACCREDIT QUAL ASSUR	ACCREDITATION AND QUALITY ASSURANCE	0949-1775	1.0	0.16
ACE-ARCHIT CITY ENVI	ACE-ARCHITECTURE CITY AND ENVIRONMENT	1886-4805	0.8	0.089
ACERVO-BRAZIL	ACERVO	0102-700X	0.1	0.0
ACG CASE REP J	ACG CASE REPORTS JOURNAL	N/A	0.5	0.156
ACI MATER J	ACI MATERIALS JOURNAL	0889-325X	1.6	0.322
ACI STRUCT J	ACI STRUCTURAL JOURNAL	0889-3241	1.5	0.306
ACM COMMUN COMPUT AL	ACM COMMUNICATIONS IN COMPUTER ALGEBRA	1932-2232	0.5	0.257
ACM COMPUT SURV	ACM COMPUTING SURVEYS	0360-0300	28.0	6.003
ACM J COMPUT CULT HE	ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE	1556-4673	2.2	0.521
ACM J DATA INF QUAL	ACM JOURNAL OF DATA AND INFORMATION QUALITY	1936-1955	2.9	0.565
ACM J EMERG TECH COM	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	1550-4832	2.6	0.52
ACM SIGCOMM COMP COM	ACM SIGCOMM COMPUTER COMMUNICATION REVIEW	0146-4833	2.8	0.318
ACM SIGECOM EXCH	ACM SIGECOM EXCHANGES	1551-9031	0.4	0.525
ACM T ACCESS COMPUT	ACM TRANSACTIONS ON ACCESSIBLE COMPUTING	1936-7228	3.5	0.583
ACM T ALGORITHMS	ACM TRANSACTIONS ON ALGORITHMS	1549-6325	1.4	0.956
ACM T APPL PERCEPT	ACM TRANSACTIONS ON APPLIED PERCEPTION	1544-3558	2.1	0.61
ACM T ARCHIT CODE OP	ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION	1544-3566	1.8	0.418
ACM T ASIAN LOW-RESO	ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING	2375-4699	2.0	0.327
ACM T AUTON ADAP SYS	ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS	1556-4665	2.1	0.318
ACM T COMPUT EDUC	ACM TRANSACTIONS ON COMPUTING EDUCATION	1946-6226	3.8	0.722
ACM T COMPUT HEALTHC	ACM TRANSACTIONS ON COMPUTING FOR HEALTHCARE	2691-1957	8.0	1.725
ACM T COMPUT LOG	ACM TRANSACTIONS ON COMPUTATIONAL LOGIC	1529-3785	0.9	0.426
ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS	0734-2071	1.8	0.609
ACM T COMPUT THEORY	ACM TRANSACTIONS ON COMPUTATION THEORY	1942-3454	0.8	0.673
ACM T COMPUT-HUM INT	ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION	1073-0516	6.6	1.046
ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS	0362-5915	1.7	1.12
ACM T DES AUTOMAT EL	ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	1084-4309	2.0	0.412
ACM T ECON COMPUT	ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION	2167-8375	0.9	1.337
ACM T EMBED COMPUT S	ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS	1539-9087	2.6	0.539
ACM T GRAPHIC	ACM TRANSACTIONS ON GRAPHICS	0730-0301	9.5	2.602
ACM T HUM-ROBOT INTE	ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION	N/A	5.5	1.133
ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS	1046-8188	9.1	1.53
ACM T INTEL SYST TEC	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	2157-6904	6.6	2.071
ACM T INTERACT INTEL	ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS	2160-6455	4.8	0.87
ACM T INTERNET TECHN	ACM TRANSACTIONS ON INTERNET TECHNOLOGY	1533-5399	4.1	0.785
ACM T INTERNET THING	ACM TRANSACTIONS ON INTERNET OF THINGS	2691-1914	3.7	0.603
ACM T KNOWL DISCOV D	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	1556-4681	4.8	1.259
ACM T MATH SOFTWARE	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	0098-3500	3.2	1.494
ACM T MODEL COMPUT S	ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	1049-3301	1.9	0.372
ACM T MULTIM COMPUT	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	1551-6857	6.0	1.1
ACM T PRIV SECUR	ACM TRANSACTIONS ON PRIVACY AND SECURITY	2471-2566	2.8	0.636
ACM T PROGR LANG SYS	ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	0164-0925	1.6	1.005
ACM T QUANTUM COMPUT	ACM TRANSACTIONS ON QUANTUM COMPUTING	2643-6809	6.8	1.889
ACM T RECONFIG TECHN	ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS	1936-7406	2.8	0.484
ACM T SENSOR NETWORK	ACM TRANSACTIONS ON SENSOR NETWORKS	1550-4859	4.7	0.75
ACM T SOFTW ENG METH	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	1049-331X	6.2	1.061
ACM T STORAGE	ACM TRANSACTIONS ON STORAGE	1553-3077	2.6	0.559
ACM T WEB	ACM TRANSACTIONS ON THE WEB	1559-1131	4.1	0.636
ACM TRANS CYBER-PHYS	ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS	2378-962X	2.9	0.614
ACM TRANS MANAG INF	ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS	2158-656X	3.6	0.71
ACM TRANS MODELING P	ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS	2376-3639	1.6	0.216
ACM TRANS PARALLEL C	ACM TRANSACTIONS ON PARALLEL COMPUTING	2329-4949	1.2	0.65
ACM TRANS SPAT ALGOR	ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS	2374-0353	1.6	0.415
ACME-ANN FAC STUDI U	ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO	0001-494X	0.1	0.258
ACOUST AUST	ACOUSTICS AUSTRALIA	0814-6039	1.8	0.363
ACOUST PHYS+	ACOUSTICAL PHYSICS	1063-7710	1.2	0.102
ACOUST SCI TECHNOL	ACOUSTICAL SCIENCE AND TECHNOLOGY	1346-3969	0.6	0.148
ACOUSTICS-BASEL	ACOUSTICS	N/A	1.2	0.37
ACQUE SOTTER	ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER	1828-454X	0.7	0.113
ACR OPEN RHEUMATOL	ACR OPEN RHEUMATOLOGY	N/A	2.8	1.001
ACROSS LANG CULT	ACROSS LANGUAGES AND CULTURES	1585-1923	0.9	0.489
ACS AGR SCI TECHNOL	ACS AGRICULTURAL SCIENCE & TECHNOLOGY	N/A	2.9	0.405
ACS APPL BIO MATER	ACS APPLIED BIO MATERIALS	2576-6422	4.7	0.669
ACS APPL ELECTRON MA	ACS APPLIED ELECTRONIC MATERIALS	N/A	4.7	0.841
ACS APPL ENERG MATER	ACS APPLIED ENERGY MATERIALS	2574-0962	5.5	1.019
ACS APPL ENG MATER	ACS APPLIED ENGINEERING MATERIALS	2771-9545	3.5	0.524
ACS APPL MATER INTER	ACS APPLIED MATERIALS & INTERFACES	1944-8244	8.2	1.432
ACS APPL NANO MATER	ACS APPLIED NANO MATERIALS	N/A	5.5	0.861
ACS APPL OPT MATER	ACS APPLIED OPTICAL MATERIALS	2771-9855	3.8	0.604
ACS APPL POLYM MATER	ACS APPLIED POLYMER MATERIALS	2637-6105	4.7	0.763
ACS BIO MED CHEM AU	ACS BIO & MED CHEM AU	N/A	4.3	1.129
ACS BIOMATER SCI ENG	ACS BIOMATERIALS SCIENCE & ENGINEERING	2373-9878	5.5	0.891
ACS CATAL	ACS CATALYSIS	2155-5435	13.1	2.827
ACS CENTRAL SCI	ACS CENTRAL SCIENCE	2374-7943	10.4	4.1
ACS CHEM BIOL	ACS CHEMICAL BIOLOGY	1554-8929	3.8	1.337
ACS CHEM HEALTH SAFE	ACS CHEMICAL HEALTH & SAFETY	N/A	3.4	0.481
ACS CHEM NEUROSCI	ACS CHEMICAL NEUROSCIENCE	1948-7193	3.9	0.91
ACS EARTH SPACE CHEM	ACS EARTH AND SPACE CHEMISTRY	2472-3452	2.9	0.875
ACS ENERGY LETT	ACS ENERGY LETTERS	2380-8195	18.2	4.821
ACS ENG AU	ACS ENGINEERING AU	N/A	5.1	1.007
ACS ENVIRON AU	ACS ENVIRONMENTAL AU	N/A	7.7	1.995
ACS EST ENG	ACS ES&T ENGINEERING	N/A	6.7	1.306
ACS EST WATER	ACS ES&T WATER	N/A	4.3	0.882
ACS FOOD SCI TECHNOL	ACS FOOD SCIENCE & TECHNOLOGY	N/A	2.8	0.4
ACS INFECT DIS	ACS INFECTIOUS DISEASES	2373-8227	3.8	0.942
ACS MACRO LETT	ACS MACRO LETTERS	N/A	5.2	1.15
ACS MATER AU	ACS MATERIALS AU	2694-2461	6.5	1.22
ACS MATER LETT	ACS MATERIALS LETTERS	N/A	8.7	1.973
ACS MEAS SCI AU	ACS MEASUREMENT SCIENCE AU	N/A	9.0	1.567
ACS MED CHEM LETT	ACS MEDICINAL CHEMISTRY LETTERS	1948-5875	4.0	0.972
ACS NANO	ACS NANO	1936-0851	16.0	3.306
ACS NANOSCI AU	ACS NANOSCIENCE AU	N/A	6.3	1.362
ACS OMEGA	ACS OMEGA	2470-1343	4.3	0.673
ACS ORG INORG AU	ACS ORGANIC & INORGANIC AU	2694-247X	4.4	0.883
ACS PHARMACOL TRANSL	ACS PHARMACOLOGY & TRANSLATIONAL SCIENCE	N/A	3.7	1.164
ACS PHOTONICS	ACS PHOTONICS	2330-4022	6.7	1.66
ACS PHYS CHEM AU	ACS PHYSICAL CHEMISTRY AU	N/A	4.3	0.977
ACS POLYM AU	ACS POLYMERS AU	N/A	6.9	1.483
ACS SENSORS	ACS SENSORS	2379-3694	9.1	1.539
ACS SUSTAIN CHEM ENG	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	2168-0485	7.3	1.287
ACS SYNTH BIOL	ACS SYNTHETIC BIOLOGY	2161-5063	3.9	1.235
ACSMS HEALTH FIT J	ACSMS HEALTH & FITNESS JOURNAL	1091-5397	1.8	0.314
ACT ADAPT AGING	ACTIVITIES ADAPTATION & AGING	0192-4788	2.6	0.296
ACT LEARN HIGH EDUC	ACTIVE LEARNING IN HIGHER EDUCATION	1469-7874	3.2	1.107
ACT NERV SUPER REDIV	ACTIVITAS NERVOSA SUPERIOR REDIVIVA	1337-933X	0.2	0.054
ACT PASSIV ELECTRON	ACTIVE AND PASSIVE ELECTRONIC COMPONENTS	0882-7516	0.8	0.145
ACTA ACUST	ACTA ACUSTICA	N/A	1.4	0.427
ACTA ADRIAT	ACTA ADRIATICA	0001-5113	0.6	0.18
ACTA AGR SCAND A-AN	ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	0906-4702	0.9	0.163
ACTA AGR SCAND B-S P	ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	0906-4710	1.8	0.272
ACTA AGROBOT	ACTA AGROBOTANICA	0065-0951	1.3	0.188
ACTA ALIMENT HUNG	ACTA ALIMENTARIA	0139-3006	1.0	0.146
ACTA AMAZON	ACTA AMAZONICA	0044-5967	0.8	0.226
ACTA ANAESTH BELG	ACTA ANAESTHESIOLOGICA BELGICA	0001-5164	0.3	0.042
ACTA ANAESTH SCAND	ACTA ANAESTHESIOLOGICA SCANDINAVICA	0001-5172	2.0	0.631
ACTA ANAL	ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION	0353-5150	0.2	0.263
ACTA ANGIOL	ACTA ANGIOLOGICA	1234-950X	0.3	0.06
ACTA APPL MATH	ACTA APPLICANDAE MATHEMATICAE	0167-8019	1.0	0.588
ACTA ARCHAEOL-DEN	ACTA ARCHAEOLOGICA	0065-101X	0.4	0.282
ACTA ARITH	ACTA ARITHMETICA	0065-1036	0.4	0.485
ACTA ASTRONAUT	ACTA ASTRONAUTICA	0094-5765	3.4	0.68
ACTA ASTRONOM	ACTA ASTRONOMICA	0001-5237	0.6	0.589
ACTA BALNEOL	ACTA BALNEOLOGICA	2082-1867	0.2	0.013
ACTA BALTICO-SLAV	ACTA BALTICO-SLAVICA	0065-1044	0.1	0.027
ACTA BIOCH BIOPH SIN	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	1672-9145	3.4	0.69
ACTA BIOCHIM POL	ACTA BIOCHIMICA POLONICA	N/A	1.7	0.36
ACTA BIOENG BIOMECH	ACTA OF BIOENGINEERING AND BIOMECHANICS	1509-409X	0.8	0.198
ACTA BIOETH	ACTA BIOETHICA	0717-5906	0.3	0.097
ACTA BIOL COLOMB	ACTA BIOLOGICA COLOMBIANA	0120-548X	0.4	0.115
ACTA BIOL CRACOV BOT	ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA	0001-5296	0.4	0.104
ACTA BIOMATER	ACTA BIOMATERIALIA	1742-7061	9.6	1.751
ACTA BIOQUIM CLIN L	ACTA BIOQUIMICA CLINICA LATINOAMERICANA	0325-2957	0.1	0.016
ACTA BIOTHEOR	ACTA BIOTHEORETICA	0001-5342	1.5	0.397
ACTA BOREAL	ACTA BOREALIA	0800-3831	0.6	0.321
ACTA BOT BRAS	ACTA BOTANICA BRASILICA	0102-3306	1.1	0.294
ACTA BOT CROAT	ACTA BOTANICA CROATICA	0365-0588	0.7	0.206
ACTA BOT MEX	ACTA BOTANICA MEXICANA	N/A	0.8	0.205
ACTA BRAS	ACTA BRASILIENSIS	2526-432X	0.1	0.041
ACTA CARDIOL	ACTA CARDIOLOGICA	0001-5385	2.5	0.424
ACTA CARDIOL SIN	ACTA CARDIOLOGICA SINICA	1011-6842	1.8	0.369
ACTA CARSOLOGICA	ACTA CARSOLOGICA	0583-6050	1.1	0.219
ACTA CHEM IASI	ACTA CHEMICA IASI	2067-2438	0.3	0.097
ACTA CHIM SINICA	ACTA CHIMICA SINICA	0567-7351	1.6	0.193
ACTA CHIM SLOV	ACTA CHIMICA SLOVENICA	1318-0207	1.3	0.155
ACTA CHIM SLOVACA	ACTA CHIMICA SLOVACA	1337-978X	0.7	0.07
ACTA CHIR BELG	ACTA CHIRURGICA BELGICA	0001-5458	0.8	0.214
ACTA CHIR ORTHOP TR	ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA	0001-5415	0.4	0.106
ACTA CHIROPTEROL	ACTA CHIROPTEROLOGICA	1508-1109	0.7	0.232
ACTA CHROMATOGR	ACTA CHROMATOGRAPHICA	1233-2356	1.7	0.198
ACTA CIR BRAS	ACTA CIRURGICA BRASILEIRA	0102-8650	1.3	0.203
ACTA CLASS	ACTA CLASSICA	0065-1141	0.0	0.118
ACTA CLIN BELG	ACTA CLINICA BELGICA	1784-3286	0.9	0.349
ACTA CLIN CROAT	ACTA CLINICA CROATICA	0353-9466	0.8	0.244
ACTA COLOMB PSICOL	ACTA COLOMBIANA DE PSICOLOGIA	0123-9155	0.7	0.172
ACTA COMMENT UNIV TA	ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA	1406-2283	0.6	0.186
ACTA CRYSTALLOGR A	ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES	2053-2733	1.8	0.68
ACTA CRYSTALLOGR B	ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS	N/A	1.3	0.433
ACTA CRYSTALLOGR C	ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	2053-2296	0.9	0.122
ACTA CRYSTALLOGR D	ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY	2059-7983	3.8	2.391
ACTA CRYSTALLOGR E	ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS	2056-9890	0.6	0.071
ACTA CRYSTALLOGR F	ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS	N/A	1.1	0.268
ACTA CYTOL	ACTA CYTOLOGICA	0001-5547	1.7	0.555
ACTA DERMATOVEN ALP	ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA	1318-4458	1.0	0.278
ACTA DERMATOVENER CR	ACTA DERMATOVENEROLOGICA CROATICA	1330-027X	0.5	0.222
ACTA DERM-VENEREOL	ACTA DERMATO-VENEREOLOGICA	0001-5555	3.7	1.252
ACTA DIABETOL	ACTA DIABETOLOGICA	0940-5429	2.9	0.878
ACTA ECOL SINICA	ACTA ECOLOGICA SINICA	1872-2032	7.1	2.029
ACTA ENDOCRINOL-BUCH	ACTA ENDOCRINOLOGICA-BUCHAREST	1841-0987	0.7	0.231
ACTA ENT MUS NAT PRA	ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE	0374-1036	0.8	0.196
ACTA EPILEPTOL	ACTA EPILEPTOLOGICA	2096-9384	1.2	0.297
ACTA ETHOL	ACTA ETHOLOGICA	0873-9749	1.3	0.382
ACTA FAC MEDICAE NAI	ACTA FACULTATIS MEDICAE NAISSENSIS	0351-6083	0.3	0.064
ACTA FAC XYLOLOG ZVO	ACTA FACULTATIS XYLOLOGIAE ZVOLEN	1336-3824	0.8	0.094
ACTA GASTRO-ENT BELG	ACTA GASTRO-ENTEROLOGICA BELGICA	1784-3227	1.2	0.37
ACTA GEOCHIM	ACTA GEOCHIMICA	2096-0956	1.3	0.367
ACTA GEOD GEOPHYS	ACTA GEODAETICA ET GEOPHYSICA	2213-5812	1.8	0.349
ACTA GEODYN GEOMATER	ACTA GEODYNAMICA ET GEOMATERIALIA	1214-9705	0.8	0.205
ACTA GEOGR SLOV	ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK	1581-6613	0.9	0.149
ACTA GEOL POL	ACTA GEOLOGICA POLONICA	0001-5709	0.9	0.223
ACTA GEOL SIN-ENGL	ACTA GEOLOGICA SINICA-ENGLISH EDITION	1000-9515	3.7	0.861
ACTA GEOPHYS	ACTA GEOPHYSICA	1895-6572	2.1	0.403
ACTA GEOTECH	ACTA GEOTECHNICA	1861-1125	5.7	1.339
ACTA GER	ACTA GERMANICA-GERMAN STUDIES IN AFRICA	0065-1273	0.0	0.013
ACTA GYMNICA	ACTA GYMNICA	2336-4912	0.7	0.208
ACTA HAEMATOL-BASEL	ACTA HAEMATOLOGICA	0001-5792	1.1	0.567
ACTA HERPETOL	ACTA HERPETOLOGICA	1827-9635	0.9	0.238
ACTA HIST TALLINENSI	ACTA HISTORICA TALLINNENSIA	1406-2925	0.5	0.119
ACTA HIST U KLAIPDEN	ACTA HISTORICA UNIVERSITATIS KLAIPEDENSIS	1392-4095	0.3	0.0
ACTA HISTOCHEM	ACTA HISTOCHEMICA	0065-1281	2.4	0.426
ACTA HISTOCHEM CYTOC	ACTA HISTOCHEMICA ET CYTOCHEMICA	0044-5991	1.8	0.46
ACTA HISTRIAE	ACTA HISTRIAE	1318-0185	0.3	0.124
ACTA ICHTHYOL PISCAT	ACTA ICHTHYOLOGICA ET PISCATORIA	0137-1592	1.0	0.266
ACTA IMEKO	ACTA IMEKO	0237-028X	0.7	0.0
ACTA INFOLOGICA	ACTA INFOLOGICA	N/A	0.3	0.0
ACTA INFORM	ACTA INFORMATICA	0001-5903	0.5	0.306
ACTA INFORM PRAG	ACTA INFORMATICA PRAGENSIA	N/A	1.1	0.0
ACTA KINESIOL	ACTA KINESIOLOGICA	1840-2976	1.6	0.081
ACTA KOREANA	ACTA KOREANA	1520-7412	0.2	0.178
ACTA LINGUIST ACAD	ACTA LINGUISTICA ACADEMICA	2559-8201	0.4	0.393
ACTA LIT	ACTA LITERARIA	0717-6848	0.0	0.026
ACTA LOGISTICA	ACTA LOGISTICA	N/A	0.9	0.0
ACTA MATER	ACTA MATERIALIA	1359-6454	9.3	2.215
ACTA MATH APPL SIN-E	ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES	0168-9673	0.9	0.333
