Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
47,ACM Transactions on Computational Logic,ACM T COMPUT LOG,1529-3785,468,0.688,0.672,0.837,0.32,25,9.2,11.5,0.00115,0.552,100,37.864,0.14128
48,ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,"1,192",1.6,1.533,4.918,0.333,9,17,7.3,0.00085,1.386,100,57.87,0.10459
49,ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,"1,523",3.147,3.074,2.958,0.125,40,7.8,8.4,0.00105,0.502,97.5,67.089,0.1292
50,ACM Transactions on Computing Education,ACM T COMPUT EDUC,1946-6226,377,1.721,1.395,1.868,0.268,41,5.6,8.6,0.00058,0.439,95.12,54.878,0.07168
51,ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,"1,383",2.927,2.902,2.408,0.583,12,13.6,8.4,0.00175,1.111,100,71.617,0.21396
52,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,663,0.852,0.77,0.984,0.13,69,6.1,7.3,0.00131,0.327,100,10.941,0.16103
53,ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,"1,396",1.53,1.475,1.464,0.191,115,5.5,7.1,0.00249,0.384,100,41.758,0.30463
54,ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,"18,052",5.084,3.403,5.51,0.488,242,7.5,6.4,0.02857,1.802,100,93.056,3.48596
55,ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,"2,020",2.889,2.514,2.935,1.043,47,14,6.7,0.00116,0.605,97.87,61.218,0.14248
56,ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,"3,727",2.672,2.496,3.809,0.884,69,8,6.2,0.00428,1.081,98.55,56.632,0.523
57,ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2160-6455,560,1.63,1.63,Not Available,0.261,23,3.8,9.6,0.00128,Not Available,100,36.397,0.15635
58,ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,686,1.598,1.529,2.098,1.143,49,5,6,0.00102,0.498,100,39.494,0.12511
59,ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,"1,385",2.01,1.837,2.801,0.302,53,6.7,7.9,0.00265,0.932,98.11,51.14,0.32432
60,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,"3,956",2.043,1.8,3.279,0.167,36,16.3,10.6,0.00389,1.793,100,73.732,0.47494
61,ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,1049-3301,714,1.38,1.3,1.457,0.44,25,12.8,9.3,0.00085,0.526,100,42.947,0.10454
62,ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,"1,242",3.275,2.908,2.757,0.571,91,3.8,4.7,0.00266,0.702,98.9,78.739,0.32552
63,ACM Transactions on Privacy and Security,ACM T PRIV SECUR,2471-2566,99,1.974,1.949,1.833,0.458,24,Not Available,6.6,0.00019,0.327,100,39.423,0.02417
64,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,991,0.765,0.676,1.065,0,18,25.9,10.6,0.00042,0.433,100,13.426,0.05135
65,ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,240,1.125,1.125,1.163,0.1,20,5.2,6.2,0.0005,0.294,100,16.038,0.06113
66,ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,"1,396",2.469,2.234,2.644,0.388,49,6.8,6.7,0.00147,0.542,100,49.327,0.18047
67,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,866,2.057,1.886,2.391,0.565,23,8.3,8.6,0.0013,0.899,100,64.352,0.15927
68,ACM Transactions on Storage,ACM T STORAGE,1553-3077,454,1.176,1.103,1.552,0.389,18,6.4,6.5,0.00094,0.598,100,23.563,0.11511
69,ACM Transactions on the Web,ACM T WEB,1559-1131,769,1.157,1.118,1.549,0.238,21,8.9,6.9,0.00053,0.376,95.24,22.329,0.06551
70,ACOUSTICAL PHYSICS,ACOUST PHYS+,1063-7710,896,0.782,0.464,0.764,0.083,72,8.6,11.6,0.00077,0.137,98.61,14.063,0.09446
71,Acoustics Australia,ACOUST AUST,0814-6039,269,1.1,1.033,0.895,0.143,21,5.8,10.9,0.0004,0.211,100,29.688,0.04938
72,Across Languages and Cultures,ACROSS LANG CULT,1585-1923,91,0.36,0.32,0.5,0.083,12,Not Available,12.7,0.00018,0.234,100,20.053,0.02306
73,ACS Applied Energy Materials,ACS APPL ENERG MATER,2574-0962,"4,671",4.473,4.183,4.473,0.885,"1,016",1.4,4.6,0.01027,0.967,99.61,68.146,1.25375
74,ACS Applied Materials & Interfaces,ACS APPL MATER INTER,1944-8244,"214,885",8.758,8.073,8.901,1.416,"5,181",3.4,4.8,0.42408,1.686,99.58,86.33,51.73886
75,ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,2373-9878,"5,877",4.152,3.828,4.619,0.853,605,2.5,6.6,0.01308,0.894,93.88,64.474,1.59604
76,ACS Catalysis,ACS CATAL,2155-5435,"70,712",12.35,11.592,12.741,2.397,"1,155",3.4,6.5,0.17225,3.005,96.88,92.767,21.01537
77,ACS Central Science,ACS CENTRAL SCI,2374-7943,"6,666",12.685,12.363,13.18,3.12,184,2.4,6,0.02681,4.597,100,91.243,3.27145
78,ACS Chemical Biology,ACS CHEM BIOL,1554-8929,"12,884",4.434,4.292,4.615,0.885,305,4.8,7.7,0.03549,1.634,94.43,73.569,4.33064
79,ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,"6,881",4.486,4.065,4.484,1.088,441,3.6,8.4,0.0153,1.158,85.94,77.073,1.86761
80,ACS Combinatorial Science,ACS COMB SCI,2156-8952,"2,060",3.381,3.056,3.193,0.977,86,4.3,8.4,0.00356,0.657,94.19,68.716,0.43547
81,ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,2472-3452,820,3.418,2.949,3.418,0.584,257,1.6,9.9,0.00245,0.991,95.72,70.003,0.29922
82,ACS Energy Letters,ACS ENERGY LETT,2380-8195,"18,351",19.003,18.005,18.708,4.034,349,2.1,3.5,0.05968,5.223,97.42,96.607,7.28153
83,ACS Infectious Diseases,ACS INFECT DIS,2373-8227,"2,184",4.614,4.285,4.97,0.99,196,2.4,7,0.00771,1.528,93.37,83.88,0.94139
84,ACS Macro Letters,ACS MACRO LETT,****-****,"10,864",6.042,5.653,5.821,1.343,274,4.1,6.3,0.0253,1.474,100,93.82,3.08781
85,ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,1948-5875,"6,545",3.975,3.826,3.881,0.895,258,4.6,6.5,0.01378,1.019,100,72.951,1.68151
86,ACS Nano,ACS NANO,1936-0851,"166,989",14.588,13.984,15.211,2.117,"1,380",5.2,5.4,0.31951,3.917,98.04,92.823,38.98058
87,ACS Omega,ACS OMEGA,2470-1343,"10,646",2.87,2.729,2.905,0.533,"2,488",1.8,7.1,0.02322,0.574,99.76,54.52,2.83382
88,ACS Photonics,ACS PHOTONICS,2330-4022,"13,268",6.864,6.495,7.044,1.258,415,2.6,5.8,0.0481,2.107,99.52,82.825,5.86909
89,ACS Sensors,ACS SENSORS,2379-3694,"6,209",7.333,6.916,7.599,1.214,397,2.3,6.2,0.01577,1.659,94.71,86.435,1.92431
90,ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,"41,078",7.632,6.916,7.741,1.544,"2,119",2.4,4.9,0.07731,1.301,99.67,90.792,9.43269
91,ACS Synthetic Biology,ACS SYNTH BIOL,2161-5063,"5,603",4.411,3.94,4.899,0.923,286,3.1,6.7,0.01959,1.636,98.95,86.364,2.391
92,ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,1091-5397,320,1.172,0.938,1.176,0.15,40,5.6,4.8,0.0004,0.219,100,13.529,0.05001
93,ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,1610-1928,"2,583",0.959,0.833,1.081,0.222,126,13.8,10.7,0.00211,0.29,99.21,23.438,0.25766
94,ACTA ADRIATICA,ACTA ADRIAT,0001-5113,440,0.746,0.712,0.931,0.091,22,10,13.4,0.00038,0.236,95.45,17.153,0.04733
95,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,0906-4702,572,0.323,0.323,0.701,1,1,15.9,Not Available,0.00023,0.172,100,10.317,0.02831
96,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,"1,283",1.092,1.012,1.142,0.475,80,7.1,9.5,0.00121,0.224,93.75,27.292,0.1482
97,ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,522,0.458,0.433,0.503,0.1,60,7.8,9.8,0.00034,0.077,98.33,7.429,0.04267
98,ACTA AMAZONICA,ACTA AMAZON,0044-5967,"1,583",0.768,0.705,1.18,0.208,48,12.7,11.1,0.00087,0.283,100,19.521,0.10692
99,ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,0001-5172,"6,701",2.05,1.79,2.371,0.6,180,10.5,7.7,0.00649,0.724,85.56,29.688,0.79252
100,ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,"1,530",0.974,0.939,0.913,0.373,59,10.2,14.6,0.00203,0.469,100,38.269,0.24768
101,ACTA ARITHMETICA,ACTA ARITH,0065-1036,"1,797",0.421,0.407,0.543,0.196,92,18.9,19.7,0.00356,0.553,100,9.414,0.43433
102,ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,"10,945",2.83,2.076,2.69,0.466,597,5.1,8.1,0.01424,0.499,98.99,88.71,1.73843
103,ACTA ASTRONOMICA,ACTA ASTRONOM,0001-5237,"1,258",2.063,1.833,2.875,0.1,20,12,9.6,0.00181,1.198,100,46.324,0.22138
104,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,"3,743",2.836,2.734,2.924,0.469,128,6,6.6,0.00484,0.621,93.75,52.466,0.59141
105,ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,"2,832",1.42,1.398,1.572,0.219,64,8.8,8.4,0.00224,0.33,84.38,11.953,0.27349
106,Acta Bioethica,ACTA BIOETH,1726-569X,145,0.153,0.136,0.273,0.042,24,9,9.7,0.00005,0.03,100,1.715,0.00717
108,ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,1900-1649,288,0.471,0.414,Not Available,0.059,51,6,10.2,0.00035,Not Available,92.16,7.673,0.04282
109,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,0001-5296,504,0.656,0.469,0.926,0.118,17,10.1,11.7,0.00023,0.17,100,16.026,0.02835
110,ACTA BIOLOGICA HUNGARICA,ACTA BIOL HUNG,0236-5383,545,0.585,0.585,0.796,Not Available,0,8.8,Not Available,0.00039,0.152,Not Available,10.215,0.04833
111,Acta Biomaterialia,ACTA BIOMATER,1742-7061,"39,268",7.242,6.773,7.502,1.57,639,5.4,7.1,0.05072,1.442,88.26,89.769,6.18857
112,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,109,0.165,0.121,0.222,0.115,26,6,11.4,0.00002,0.01,100,1.724,0.00363
113,ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,603,0.719,0.719,0.841,0.308,13,17.3,10.4,0.00032,0.244,100,7.627,0.0402
114,Acta Botanica Brasilica,ACTA BOT BRAS,0102-3306,"1,616",1.048,0.972,1.072,0.187,75,9.9,11.1,0.00113,0.249,94.67,30.983,0.13795
115,ACTA BOTANICA CROATICA,ACTA BOT CROAT,0365-0588,438,1.051,1.034,1.169,0.261,23,6.8,12.3,0.00048,0.241,100,31.41,0.05944
116,Acta Botanica Mexicana,ACTA BOT MEX,0187-7151,482,0.691,0.5,0.815,0.333,60,8,12,0.00031,0.164,98.33,17.308,0.03814
117,ACTA CARDIOLOGICA,ACTA CARDIOL,0001-5385,960,1.208,1.142,0.951,0.709,55,7.8,7.6,0.00155,0.337,87.27,10.507,0.19019
118,ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,512,0.806,0.694,1.064,0.2,20,9.9,12.4,0.00057,0.417,100,10.25,0.07068
119,ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,"2,266",2.759,1.935,1.803,0.355,138,5.4,5.1,0.00219,0.268,73.91,53.955,0.26774
120,ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,"1,559",1.263,0.868,1.123,0.252,115,7.3,8.8,0.00103,0.144,98.26,25.706,0.12651
121,ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,824,1,0.899,1.237,0.105,19,9.5,13.1,0.00085,0.355,100,41.964,0.10376
122,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,0001-5415,454,0.256,0.209,0.48,0.016,64,8.4,9.9,0.00039,0.106,96.88,0.61,0.04878
123,ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,0001-5458,952,0.803,0.766,0.676,0.313,67,10.5,9.4,0.00076,0.16,88.06,10.238,0.09344
124,ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,1233-2356,495,1.418,1.374,0.936,0.46,50,6.2,8.3,0.00048,0.164,100,20.349,0.05895
125,Acta Cirurgica Brasileira,ACTA CIR BRAS,0102-8650,"1,324",0.974,0.85,0.943,0.139,101,6.4,8,0.00152,0.187,98.02,14.524,0.18589
126,ACTA CLINICA BELGICA,ACTA CLIN BELG,1784-3286,941,1.111,1.062,0.95,0.394,71,6.4,7.4,0.00137,0.249,80.28,31.818,0.16789
127,Acta Clinica Croatica,ACTA CLIN CROAT,0353-9466,512,0.532,0.441,0.607,0.043,92,5.3,10.2,0.00072,0.12,78.26,11.818,0.08887
128,Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,2053-2733,"11,663",1.96,1.644,3.131,0.77,74,16.6,13.8,0.00315,0.908,100,42.031,0.38465
129,Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,****-****,"11,952",2.048,1.84,4.683,0.645,124,25.7,9.6,0.00607,1.037,100,45.931,0.74125
130,Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,2053-2296,"10,195",1.09,0.896,6.288,0.359,206,4.8,8.4,0.01316,1.057,100,25.299,1.60562
131,Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2059-7983,"21,750",5.266,4.808,3.181,0.871,101,9.6,8.9,0.01822,1.672,99.01,88.762,2.22301
132,Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,****-****,"1,913",0.968,0.891,0.887,0.414,99,6.5,9.9,0.00375,0.318,98.99,11.002,0.45851
133,ACTA CYTOLOGICA,ACTA CYTOL,0001-5547,"2,016",1.226,1.085,Not Available,0.964,56,13,6.9,0.0014,Not Available,53.57,22.436,0.17128
134,ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,"6,694",4.016,3.773,3.692,0.854,151,7.9,7.6,0.00816,0.966,86.75,90.441,0.99583
135,Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,1330-027X,447,1.048,0.952,1.125,0.118,34,5.9,8.1,0.00058,0.232,79.41,12.5,0.07159
136,ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,"3,675",3.418,2.971,3.193,1.069,144,5,6.4,0.00707,0.856,81.25,58.392,0.86258
137,Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,1841-0987,293,0.55,0.356,0.508,0.048,62,4.4,8,0.00037,0.077,98.39,4.545,0.04577
138,ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0374-1036,460,0.623,0.588,0.619,0.417,36,7.2,19.9,0.00082,0.231,88.89,20.297,0.10019
139,ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,433,1,0.933,1.294,0.296,27,6.9,12.9,0.00071,0.394,100,22.424,0.08675
140,ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,1784-3227,545,0.658,0.577,0.7,0.224,58,8.3,7.4,0.00042,0.13,68.97,1.705,0.0521
141,Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,2213-5812,306,0.909,0.792,0.871,0.294,34,4.9,9.6,0.00054,0.221,97.06,11.176,0.06608
142,Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,1214-9705,442,1.227,1.12,1.309,0.2,40,5,9.6,0.00051,0.215,100,30.504,0.0623
143,Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,1581-6613,278,1.341,0.955,1.156,1.091,22,5,10.2,0.00013,0.101,100,15,0.01691
144,ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0001-5709,918,0.797,0.688,1.218,0.3,20,14.4,24.9,0.00062,0.335,95,24.468,0.07594
145,ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1000-9515,"4,558",1.973,1.459,2.35,0.259,170,8.2,11.5,0.00506,0.548,95.29,42.25,0.61751
146,Acta Geophysica,ACTA GEOPHYS,1895-6572,"1,313",1.395,1.156,1.254,0.527,150,5.5,10.9,0.00181,0.292,94.67,35.882,0.22186
147,Acta Geotechnica,ACTA GEOTECH,1861-1125,"2,490",4.35,3.333,4.087,1.31,126,3.9,10,0.0056,1.102,100,93.59,0.68383
148,Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,1854-0171,81,0.464,0.321,0.478,0,14,Not Available,11.6,0.00005,0.068,100,1.282,0.00704
149,ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,0001-5792,"1,562",1.196,1.181,1.168,0.6,65,10.3,8,0.00144,0.295,76.92,9.868,0.17601
150,Acta Herpetologica,ACTA HERPETOL,1827-9635,271,0.692,0.635,0.878,0.048,21,6.9,11.6,0.00038,0.231,100,22.321,0.04658
151,ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,"2,324",2.107,1.99,1.855,0.423,104,6.1,10.2,0.00286,0.381,98.08,22.821,0.34942
152,ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,399,1.39,1.098,0.926,0.083,12,8.8,10.7,0.0003,0.198,83.33,8.462,0.03692
153,Acta Histriae,ACTA HISTRIAE,1318-0185,129,0.627,0.235,0.379,0.143,35,2.9,18.6,0,0,100,68.5,0
