Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,0025-5858,1865-8784,MATHEMATICS - SCIE,642,0.5,Q4,9.49,0.338,Q4,0.4,20.15,20.83,0.387,0.393,0.05,0.00029,0.06381,20,100,53,19.4,20
Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,1012-8255,2056-5127,Multiple,408,1.369,Q4,8.12,0.202,Q4,0.27,23.56,1.06,1.582,1.185,0.621,0.0003,0.06483,29,100,4.8,9.5,29
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,1069-6563,1553-2712,EMERGENCY MEDICINE - SCIE,12.738,5.221,Q1,82.81,1.545,Q1,1.7,91.35,4.83,4.793,4.946,0.985,0.01071,2.29015,137,78.83,10.2,6.4,108
ACADEMIC MEDICINE,ACAD MED,1040-2446,1938-808X,Multiple,24.4,7.84,Q1,98.86,2.864,Q1,2.11,98.43,6.75,8.108,6.958,2.837,0.02816,6.01952,196,88.27,7.7,6.7,173
Academic Pediatrics,ACAD PEDIATR,1876-2859,1876-2867,PEDIATRICS - SCIE,4.708,2.993,Q2,60.38,1.386,Q1,1.15,85.6,1.75,3.984,2.687,1.085,0.00889,1.90017,164,92.68,5,6.8,152
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,1545-7230,Multiple,2.857,2.385,Q3,48.13,0.871,Q2,0.86,64.4,7.91,3.052,1.877,0.818,0.00379,0.81169,99,93.94,5.8,7,93
ACADEMIC RADIOLOGY,ACAD RADIOL,1076-6332,1878-4046,RADIOLOGY. NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE,9.138,5.482,Q1,79.04,0.937,Q2,1.09,84.75,4.62,4.076,4.985,2.113,0.00954,2.04052,282,91.49,5,5.7,258
Academy of Management Annals,ACAD MANAG ANN,1941-6520,1941-6067,Multiple,8.244,19.241,Q1,99.78,12.596,Q1,3.75,99.83,0,27.258,18.889,5.059,0.01483,3.17117,17,58.82,7.3,11.5,10
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,0001-4273,1948-0989,Multiple,54.177,10.979,Q1,93.58,7.679,Q1,2.54,98.14,0,16.178,10.611,4.072,0.02984,6.37706,69,100,15.9,14.1,69
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,N/A,Multiple,4.116,6.149,Q1,95.69,2.028,Q1,1.9,91.95,0,7.022,5.234,1.759,0.00258,0.55184,29,100,10.1,12.8,29
Academy of Management Perspectives,ACAD MANAGE PERSPECT,1558-9080,N/A,Multiple,5.712,8.069,Q1,82.52,3.606,Q1,2.05,94.07,0,10.161,7.776,3.8,0.00424,0.90792,40,100,9,11.8,40
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,1930-3807,Multiple,47.651,13.865,Q1,98.89,7.885,Q1,2.66,98.81,0,17.311,13.284,9.944,0.01251,2.67375,36,97.22,21.8,12.9,35
ACAROLOGIA,ACAROLOGIA,0044-586X,2107-7207,ENTOMOLOGY - SCIE,1.628,1.475,Q3,44.5,0.308,Q3,0.72,60.48,89.02,1.484,0.931,0.619,0.00083,0.17822,63,96.83,23.8,18.1,61
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,0001-4575,1879-2057,Multiple,30.168,6.376,Q1,96.88,1.231,Q1,2.09,97.73,7.56,6.247,4.861,1.384,0.02049,4.37891,477,95.81,8,7.2,457
Accountability in Research-Policies and Quality Assurance,ACCOUNT RES,0898-9621,1545-5815,MEDICAL ETHICS - SCIE,839,3.057,Q2,71.88,0.83,Q2,0.83,50,19.33,2.921,2.7,0.347,0.00109,0.2342,49,93.88,5.9,6,46
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,0001-4788,2159-4260,BUSINESS. FINANCE - SSCI,1.979,2.326,Q3,40.09,0.768,Q3,1,74.43,29.03,3.606,1.953,0.421,0.00131,0.28064,38,97.37,9.5,10.8,37
Accounting and Finance,ACCOUNT FINANC,0810-5391,1467-629X,BUSINESS. FINANCE - SSCI,2.884,2.473,Q3,45.5,0.457,Q4,0.92,69,1.69,2.648,2.068,0.831,0.00226,0.48389,178,95.51,4.9,10.7,170
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,0951-3574,1758-4205,BUSINESS. FINANCE - SSCI,7.052,4.893,Q1,84.23,0.916,Q2,1.6,91.18,10.87,5.701,3.762,1.233,0.00361,0.77219,116,97.41,8.7,9.8,113
Accounting Forum,ACCOUNT FORUM,0155-9982,1467-6303,BUSINESS. FINANCE - SSCI,1.575,4,Q2,72.52,0.701,Q3,1.18,83.03,19.7,4.255,3.583,0.5,0.0007,0.15084,30,96.67,9.7,10.3,29
Accounting Horizons,ACCOUNT HORIZ,0888-7993,1558-7975,BUSINESS. FINANCE - SSCI,3.128,2.157,Q3,35.59,1.336,Q2,0.85,66.29,0,3.364,2.071,0.282,0.00209,0.4474,39,97.44,11.8,10.4,38
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,1873-6289,BUSINESS. FINANCE - SSCI,9.06,4.114,Q2,75.23,1.983,Q1,1.55,90.27,7.89,5.688,3.937,1.057,0.00356,0.76085,35,100,14.9,12.9,35
ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,1558-7967,BUSINESS. FINANCE - SSCI,18.165,5.182,Q1,87.84,4.116,Q1,1.78,92.99,0,7.818,4.852,1.388,0.01529,3.26791,103,100,12.2,12.4,103
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,1520-4898,CHEMISTRY. MULTIDISCIPLINARY - SCIE,87.364,24.466,Q1,96.37,5.952,Q1,1.38,87.28,9.97,24.462,24.301,4.371,0.08205,17.5348,394,0,7.1,6.6,0
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,1432-0517,Multiple,915,0.856,Q4,7.03,0.127,Q4,0.19,12.63,14.05,0.852,0.756,0.129,0.00025,0.0538,31,96.77,12.6,10.3,30
ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,1944-737X,Multiple,8.099,1.661,Q3,25.74,0.385,Q3,0.28,27.53,0,2.088,1.554,0.222,0.00179,0.38374,117,99.15,17.1,8.9,116
ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,1944-7361,Multiple,9.544,1.799,Q3,28.68,0.434,Q3,0.36,33.15,0,2.288,1.594,0.321,0.0028,0.59867,134,99.25,15.7,11.5,133
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,1557-7341,COMPUTER SCIENCE. THEORY & METHODS - SCIE,14.992,14.324,Q1,97.71,3.297,Q1,3.95,98.94,0.22,14.215,14.077,2.835,0.01766,3.77549,176,89.2,4.8,5.6,157
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,1556-4673,1556-4711,Multiple,563,2.047,N/A,23.45,0.654,Q1,4.03,99.68,0,2.577,1.828,0.554,0.0008,0.17267,56,98.21,4.2,7.8,55
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,1550-4840,Multiple,797,2.013,Q3,36.41,0.562,Q2,0.37,32.25,0.73,2.344,1.896,0.417,0.00104,0.22254,60,100,4.9,6.1,60
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,1943-5819,COMPUTER SCIENCE. INFORMATION SYSTEMS - SCIE,7.821,1.937,Q4,24.09,0.573,Q3,0.41,31.91,0,2.247,1.861,0.182,0.00088,0.18863,22,100,9.8,5.4,22
ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,1549-6333,Multiple,1.023,1.113,Q3,31.65,0.989,Q1,0.45,44.72,0.7,1.297,1.075,0.222,0.00252,0.54039,36,100,9.3,10.9,36
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,1544-3965,COMPUTER SCIENCE. SOFTWARE ENGINEERING - SCIE,717,1.676,Q3,30.45,0.452,Q3,0.62,45.49,0,1.876,1.595,0.238,0.00045,0.09635,21,100,10.7,10.8,21
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,1544-3973,Multiple,799,1.444,Q3,39.91,0.322,Q4,0.37,32.75,63.93,1.403,1.282,0.356,0.00094,0.20121,59,100,5.4,7.1,59
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,2375-4702,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,413,1.471,Q4,15.63,0.241,Q4,0.28,18.78,0.83,1.507,1.316,0.519,0.00052,0.11183,106,99.06,2.4,6.3,105
ACM Transactions on Computational Logic,ACM T COMPUT LOG,1529-3785,1557-945X,Multiple,473,0.898,Q2,73.81,0.486,Q2,0.78,75,0,0.791,0.847,0.154,0.00068,0.14606,26,100,10.4,15.5,26
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,1557-7333,COMPUTER SCIENCE. THEORY & METHODS - SCIE,1.38,1.692,Q3,45.41,0.563,Q2,0.76,72.89,0,2.375,1.692,0.308,0.00021,0.04573,13,100,19.1,8.2,13
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,1557-7325,Multiple,1.96,4.106,Q2,62.5,0.813,Q2,0.79,76.56,0,4.075,3.941,0.391,0.00143,0.30706,46,97.83,7.7,8.5,45
ACM Transactions on Computing Education,ACM T COMPUT EDUC,1946-6226,1946-6226,EDUCATION. SCIENTIFIC DISCIPLINES - SCIE,745,2.493,Q3,46.59,0.551,Q3,1.07,79.88,0,3.038,2.282,0.581,0.00069,0.14774,31,96.77,4.9,7.6,30
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1557-4644,Multiple,1.57,1.629,Q3,28.64,1.311,Q1,0.49,39.23,0,4.225,1.629,0.188,0.00127,0.27145,16,100,12.6,9.7,16
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,1557-7309,Multiple,825,1.447,Q4,25,0.34,Q4,0.37,25,0,1.412,1.374,0.4,0.00106,0.22756,50,100,5.4,7,50
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,1558-3465,Multiple,1.59,1.886,Q3,44.09,0.414,Q3,0.53,41.13,0,1.706,1.72,0.248,0.002,0.42879,105,100,5.2,6,105
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1557-7368,COMPUTER SCIENCE. SOFTWARE ENGINEERING - SCIE,26.319,7.403,Q1,92.27,2.52,Q1,2.07,95.86,0,8.339,5.414,0.57,0.03064,6.54976,284,100,7.3,6.4,284
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,1558-2868,COMPUTER SCIENCE. INFORMATION SYSTEMS - SCIE,2.407,4.657,Q2,67.38,0.918,Q2,1.28,83.54,0,4.279,4.414,0.907,0.00177,0.38029,43,100,11.9,5.8,43
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,Multiple,5.126,10.489,Q1,96.65,1.65,Q1,1.55,89.23,0,6.571,10.291,0.975,0.00537,1.1494,81,100,6.7,5.3,81
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2160-6455,2160-6463,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,1.014,1.887,Q3,25.35,1.529,Q1,0.42,35.71,0,5.466,1.792,0.448,0.00193,0.41287,29,96.55,5.4,7.2,28
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,1557-6051,Multiple,1.257,3.989,Q1,82.27,0.817,Q2,1.07,81.58,0,3.413,3.87,2.379,0.00161,0.34506,103,99.03,3.1,4.8,102
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,1556-472X,Multiple,2.538,4.157,Q1,85,0.871,Q2,1.01,79.32,0.69,3.779,3.786,0.576,0.00239,0.51271,151,100,6.5,6.8,151
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1557-7295,Multiple,4.865,2.464,Q1,81.84,1.113,Q1,0.91,71.8,0.82,2.746,2.333,0.868,0.00216,0.4634,38,100,16.9,10.8,38
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,1049-3301,1558-1195,Multiple,743,0.851,Q4,18.16,0.353,Q4,0.47,36.62,0,1.254,0.723,0.167,0.0004,0.08754,24,91.67,12.8,10.5,22
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,1551-6865,Multiple,2.183,4.094,Q1,83.18,0.962,Q1,1.15,87.68,0,3.892,3.77,1.358,0.00354,0.75797,162,100,3.2,4.9,162
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,2471-2566,2471-2574,COMPUTER SCIENCE. INFORMATION SYSTEMS - SCIE,316,2.717,Q3,40.55,0.716,Q2,0.9,67.28,0,3.117,2.696,0.71,0.00063,0.1366,31,100,3.1,7.6,31
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1558-4593,COMPUTER SCIENCE. SOFTWARE ENGINEERING - SCIE,1.337,1.714,Q3,33.18,0.778,Q2,0.53,37.22,0,1.756,1.714,0.211,0.0006,0.12961,19,100,27.3,11.1,19
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,1936-7414,COMPUTER SCIENCE. HARDWARE & ARCHITECTURE - SCIE,479,2.837,Q2,54.63,0.486,Q3,0.73,60.48,0,2.39,2.673,0.056,0.00054,0.11651,18,100,4.1,5.6,18
ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,1550-4867,Multiple,1.4,2.56,Q3,40.96,0.556,Q2,0.7,53.46,0,2.836,2.47,0.68,0.00106,0.22703,25,100,7.4,6.3,25
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,1557-7392,COMPUTER SCIENCE. SOFTWARE ENGINEERING - SCIE,1.296,3.685,Q1,77.73,0.897,Q2,1.35,89.1,0,3.914,3.481,0.554,0.00089,0.19119,56,98.21,7.8,7.9,55
ACM Transactions on Storage,ACM T STORAGE,1553-3077,1553-3093,Multiple,548,1.229,Q4,18.64,0.426,Q3,0.45,33.06,1.33,1.705,1.125,0.185,0.00056,0.12013,27,100,6.9,7,27
ACM Transactions on the Web,ACM T WEB,1559-1131,1559-114X,Multiple,850,3.35,Q2,72.27,0.491,Q3,0.81,65.79,0,2.6,3.25,0.25,0.00053,0.11456,20,95,9.3,6.6,19
ACOUSTICAL PHYSICS,ACOUST PHYS+,1063-7710,1562-6865,ACOUSTICS - SCIE,1.138,1.116,Q4,20.31,0.164,Q4,0.31,23.75,0,0.944,0.64,0.092,0.00069,0.14754,76,98.68,8.7,14.5,75
Acoustics Australia,ACOUST AUST,0814-6039,1839-2571,ACOUSTICS - SCIE,540,1.891,Q3,42.19,0.37,Q3,0.55,53.75,1.8,1.939,1.828,0.213,0.00057,0.12254,47,85.11,5,8.1,40
Across Languages and Cultures,ACROSS LANG CULT,1585-1923,1588-2519,Multiple,214,1.292,N/A,49.74,0.699,Q2,0.85,70.95,8.33,1.21,1.208,0.167,0.00041,0.08799,12,100,10.4,11.5,12
ACS Applied Electronic Materials,ACS APPL ELECTRON MA,N/A,2637-6113,Multiple,4.185,4.494,Q2,72.28,0.807,Q2,0.9,72.83,6.52,4.496,4.246,0.961,0.00607,1.29913,618,95.31,1.7,5.8,589
ACS Applied Energy Materials,ACS APPL ENERG MATER,2574-0962,N/A,Multiple,24.312,6.959,Q1,75.22,1.207,Q2,0.98,75.72,5.61,7.01,6.602,1.049,0.03678,7.86071,1.624,99.26,2.2,4.4,1.612
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,1944-8244,1944-8252,Multiple,345.64,10.383,Q1,85.94,1.607,Q1,1.49,88.77,4.65,10.382,9.717,1.817,0.38051,81.31535,6.156,98.93,3.9,4.7,6.09
ACS Applied Nano Materials,ACS APPL NANO MATER,N/A,2574-0970,Multiple,19.177,6.14,Q2,70.87,0.949,Q2,0.85,70.65,5.35,6.104,5.881,1.008,0.02599,5.55574,1.485,97.71,2.1,5.3,1.451
ACS Applied Polymer Materials,ACS APPL POLYM MATER,2637-6105,2637-6105,Multiple,5.602,4.855,Q1,79.44,0.737,Q1,0.9,83.68,8.43,4.855,4.583,1.098,0.00693,1.48117,695,95.83,1.7,6.3,666
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,2373-9878,2373-9878,MATERIALS SCIENCE. BIOMATERIALS - SCIE,14.31,5.395,Q2,60.23,0.858,Q2,0.86,68.87,6.52,5.77,5.223,1.367,0.0182,3.89021,504,88.1,3,6.3,444
ACS Catalysis,ACS CATAL,2155-5435,2155-5435,CHEMISTRY. PHYSICAL - SCIE,114.1,13.7,Q1,89.26,3.048,Q1,1.79,90.99,10.87,14.413,12.841,2.459,0.16584,35.44174,1.436,96.66,4,6.6,1.388
ACS Central Science,ACS CENTRAL SCI,2374-7943,2374-7951,CHEMISTRY. MULTIDISCIPLINARY - SCIE,16.22,18.728,Q1,93.58,4.928,Q1,2.9,97.1,96.32,18.367,18.55,4.497,0.03721,7.95382,189,99.47,3,5.4,188
ACS Chemical Biology,ACS CHEM BIOL,1554-8929,1554-8937,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,17.285,4.634,Q2,56.25,1.462,Q1,0.85,67.76,14.62,5.074,4.491,0.909,0.02411,5.15307,297,93.27,5.8,8,277
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,1948-7193,Multiple,12.168,5.78,Q1,81.75,1.113,Q1,1.01,77.41,7.49,5.42,5.52,1.053,0.01655,3.53806,393,90.59,3.6,7.8,356
ACS Combinatorial Science,ACS COMB SCI,2156-8952,2156-8944,Multiple,2.504,3.903,Q2,64.58,0.761,Q1,0.75,70.95,10.8,3.637,3.903,N/A,0.00305,0.65231,N/A,N/A,5.1,N/A,N/A
ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,2472-3452,2472-3452,Multiple,2.751,3.556,Q2,61.49,0.929,Q2,0.78,70.76,9.47,3.776,3.061,0.646,0.00594,1.27069,314,98.41,2.5,9.6,309
ACS Energy Letters,ACS ENERGY LETT,2380-8195,2380-8195,Multiple,42.884,23.991,Q1,96.79,5.313,Q1,3.27,98.81,11.69,24.052,22.89,4.931,0.08474,18.111,493,91.28,3,3.7,450
ACS Infectious Diseases,ACS INFECT DIS,2373-8227,N/A,Multiple,5.66,5.578,Q1,76.98,1.323,Q1,1.26,81.25,17.46,5.829,5.291,1.539,0.01022,2.18598,282,93.97,2.8,7.3,265
ACS Macro Letters,ACS MACRO LETT,N/A,2161-1653,POLYMER SCIENCE - SCIE,14.505,7.015,Q1,92.78,1.411,Q1,1.61,96.32,8.1,6.528,6.575,1.518,0.01805,3.85877,251,100,4.8,6.5,251
ACS Materials Letters,ACS MATER LETT,N/A,2639-4979,MATERIALS SCIENCE. MULTIDISCIPLINARY - SCIE,3.583,11.17,Q1,87.97,2.304,Q1,1.61,90.22,6.35,11.17,10.722,2.622,0.00606,1.29603,180,81.11,1.7,4.4,146
ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,1948-5875,N/A,CHEMISTRY. MEDICINAL - SCIE,9.499,4.632,Q2,64.29,0.916,Q1,1.3,85.42,9.7,4.504,4.499,0.928,0.01064,2.2746,236,100,4.8,6.9,236
ACS Nano,ACS NANO,1936-0851,1936-086X,Multiple,224.439,18.027,Q1,94.35,3.558,Q1,2.51,96.26,10.64,18.022,17.306,3.508,0.22943,49.03009,1.76,93.18,5.2,5.2,1.64
ACS Omega,ACS OMEGA,2470-1343,2470-1343,CHEMISTRY. MULTIDISCIPLINARY - SCIE,41.528,4.132,Q2,59.5,0.63,Q2,0.63,62.72,96.19,4.197,3.983,0.732,0.05524,11.80622,3.689,97.48,2.4,7,3.596
ACS Photonics,ACS PHOTONICS,2330-4022,N/A,Multiple,20.03,7.077,Q1,87.62,1.897,Q1,1.47,89.04,14.9,7.473,6.748,1.788,0.0396,8.4644,439,99.32,3.6,5.9,436
ACS Sensors,ACS SENSORS,2379-3694,2379-3694,Multiple,16.18,9.618,Q1,94.83,1.619,Q1,1.38,91.41,9.69,9.554,9.144,1.911,0.02449,5.23502,471,89.81,2.8,5.8,423
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,Multiple,85.989,9.224,Q1,91.2,1.363,Q1,1.45,92.77,6.85,9.458,8.786,1.557,0.10328,22.07096,1.679,99.7,3.2,5.1,1.674
ACS Synthetic Biology,ACS SYNTH BIOL,2161-5063,N/A,BIOCHEMICAL RESEARCH METHODS - SCIE,9.413,5.249,Q1,79.11,1.426,Q1,1.2,85.12,16.92,5.373,4.632,0.732,0.01794,3.83571,355,94.37,3.8,6.5,335
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,1091-5397,1536-593X,SPORT SCIENCES - SCIE,431,1.13,Q4,9.77,0.209,Q4,0.35,25,0,1.302,0.87,0.638,0.00034,0.07288,47,100,4.6,6.1,47
ACTA ACUSTICA,ACTA ACUST,N/A,2681-4617,ACOUSTICS - SCIE,195,1.355,Q3,29.69,0.325,Q3,0.34,31.25,97.62,1.419,1.194,0.321,0.00009,0.02044,53,98.11,20.1,11.5,52
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,1610-1928,2681-4617,ACOUSTICS - SCIE,2.759,0.96,Q4,10.94,0.303,Q3,0.32,26.25,12.7,1.151,0.96,N/A,0.00137,0.29393,0,N/A,15,N/A,0
ACTA ADRIATICA,ACTA ADRIAT,0001-5113,1846-0453,Multiple,438,0.682,Q4,11.06,0.191,Q4,0.2,11.16,87.27,0.947,0.682,0.273,0.00023,0.05091,11,100,9.7,17.3,11
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,0906-4702,1651-1972,AGRICULTURE. DAIRY & ANIMAL SCIENCE - SCIE,741,0.73,Q4,16.94,0.174,Q4,0.31,25.95,50,1.194,0.676,0.231,0.00016,0.03631,13,100,14,10.3,13
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,1651-1913,Multiple,2.032,1.931,Q3,49.44,0.249,Q3,0.51,56.05,20.63,1.735,1.818,0.213,0.00094,0.20202,127,97.64,8.1,6.1,124
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,1588-2535,Multiple,856,1,Q4,10.56,0.123,Q4,0.19,16.06,39.66,1.039,0.941,0.15,0.00035,0.07682,60,95,7.2,8.3,57
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1809-4392,Multiple,1.996,1.091,Q3,31.53,0.333,Q3,0.41,37.79,100,1.479,1.04,0.239,0.00076,0.16355,46,97.83,13.4,9.5,45
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,0001-5172,1399-6576,ANESTHESIOLOGY - SCIE,7.944,2.274,Q4,25,0.729,Q3,0.72,60.48,19.72,2.423,2.025,0.905,0.00571,1.22221,158,85.44,11.4,6.3,135
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,1572-9036,MATHEMATICS. APPLIED - SCIE,2.086,1.563,Q2,58.61,0.606,Q3,0.7,51.89,8.76,1.514,1.514,0.714,0.00206,0.44041,91,100,11.5,11.9,91
ACTA ARITHMETICA,ACTA ARITH,0065-1036,1730-6264,MATHEMATICS - SCIE,2.158,0.59,Q4,17.62,0.553,Q3,0.55,36.39,0,0.576,0.546,0.196,0.00263,0.5633,112,100,20.5,19,112
