Journal	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
REV MOD PHYS	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	25.456	24.877	24.369	31.178	28.9	32.565	32.037	31.158	27.008	23.824	19.497	19.803	21.102	22.105
TRENDS PHARMACOL SCI	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.465	3.305	3.334	3.677	3.721	3.518	3.649	3.521	3.41	3.636	3.798	3.888	3.946	4.005
ANNU REV GENET	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	11.429	10.338	12.137	12.952	12.134	11.447	12.073	10.699	9.278	8.863	7.043	6.627	5.965	7.152
ANN INTERN MED	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.309	6.27	6.772	7.438	7.912	7.71	7.416	8.134	7.75	8.579	9.222	9.538	9.842	11.43
J CELL BIOL	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.892	5.641	5.748	5.776	5.579	5.441	5.492	5.406	5.007	4.56	4.764	4.446	4.124	4.314
CRIT REV BIOCHEM MOL	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.329	5.385	6.186	5.965	4.431	3.811	3.702	3.255	3.374	3.345	3.29	2.983	3.045	3.144
ADV IMMUNOL	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	3.427	4.182	3.413	4.675	4.182	4.037	3.503	3.494	2.994	0.0	2.491	2.736	2.695	3.046
ADV CATAL	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	4.368	2.471	3.118	2.989	1.573	1.533	2.155	3.287	1.923	2.012	2.394	1.474	2.18	2.602
TRENDS CELL BIOL	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.105	7.13	6.904	6.795	6.523	6.196	5.861	5.581	5.442	6.258	7.205	6.815	7.285	7.928
GASTROENTEROLOGY	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.869	3.956	4.032	4.234	4.514	4.665	4.877	5.132	5.681	6.258	7.268	6.596	6.597	8.235
AM J HUM GENET	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.381	5.42	5.783	6.219	5.867	5.976	5.087	5.381	5.676	5.556	5.239	5.272	5.444	5.728
HUM BRAIN MAPP	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.598	2.387	2.757	2.328	2.382	2.592	2.44	2.288	2.088	1.944	1.894	1.784	1.735	1.844
MOL CELL BIOL	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.697	3.43	3.435	3.25	3.019	2.778	2.686	2.402	2.166	2.15	2.024	1.76	1.527	1.545
CURR OPIN GENET DEV	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	5.49	4.678	4.701	4.681	4.378	4.377	4.317	3.736	3.102	2.975	2.888	2.608	2.542	2.48
TRENDS GENET	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	5.238	4.637	4.414	4.787	4.476	4.735	5.233	4.82	4.823	5.202	4.972	4.716	5.225	5.232
DEVELOPMENT	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.768	3.933	4.18	3.75	3.676	3.353	3.395	3.098	2.867	2.863	2.828	2.798	2.686	2.979
CIRCULATION	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.703	4.791	5.055	5.317	5.973	6.02	5.9	6.333	6.828	6.93	7.195	8.025	8.609	10.668
PLANT CELL	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	5.138	4.35	4.532	4.059	3.752	3.795	3.815	3.474	3.291	3.563	3.438	3.643	3.669	3.93
J CLIN INVEST	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.018	7.469	7.152	7.227	6.951	6.401	6.309	6.118	5.959	6.189	5.992	5.4	5.229	6.017
ANNU REV ASTRON ASTR	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	13.918	14.444	15.407	15.76	17.157	17.223	18.988	22.835	19.063	20.813	20.671	20.576	16.566	15.755
ANN NEUROL	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.116	3.337	3.585	3.995	4.188	4.423	4.184	4.176	4.36	4.485	4.452	4.246	4.007	4.411
BLOOD	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.26	3.371	3.503	3.711	3.692	3.41	3.697	3.627	3.889	4.022	4.516	4.804	4.979	6.288
Q REV BIOPHYS	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	5.513	6.042	6.838	6.412	8.532	7.111	6.186	5.03	4.387	3.598	3.223	3.051	2.873	2.634
JAMA-J AM MED ASSOC	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	10.644	11.148	11.421	12.439	13.111	13.116	13.16	14.418	16.023	17.762	19.947	21.339	21.712	26.376
PHYS REP	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.27	8.06	8.74	11.84	10.744	11.699	12.261	11.422	9.627	9.029	8.548	8.665	8.993	9.047
CA-CANCER J CLIN	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	16.308	17.518	20.925	24.729	24.536	29.408	34.798	39.508	40.137	41.14	40.949	46.113	56.503	79.154
CURR OPIN IMMUNOL	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.905	3.98	4.236	4.136	4.062	3.747	3.316	3.018	3.237	2.974	2.757	2.699	2.829
P NATL ACAD SCI USA	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.929	4.847	4.86	4.951	4.896	4.879	4.878	4.733	4.691	4.721	4.529	4.493	4.448	4.791
MOL BIOL CELL	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.473	3.178	3.259	3.14	2.721	2.607	2.485	2.189	2.071	1.842	1.876	1.838	1.698	1.762
ANNU REV MICROBIOL	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.81	7.059	7.72	7.353	7.43	7.025	7.466	7.105	6.683	5.954	5.346	5.056	5.409	6.104
DIABETES	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.923	2.987	2.915	3.108	2.919	3.023	3.129	3.041	3.101	3.162	2.964	2.735	2.643	2.733
CLIN MICROBIOL REV	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	5.844	6.118	6.008	6.484	6.837	6.645	6.986	7.631	7.836	8.401	8.635	9.321	9.205	10.133
ANGEW CHEM INT EDIT	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.298	3.338	3.299	3.378	3.378	3.523	3.242	3.39	3.432	3.433	3.376	3.241	3.303	3.43
HUM MOL GENET	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.573	3.488	3.379	3.561	3.16	3.076	2.853	2.648	2.605	2.422	2.29	2.077	2.091	2.1
CIRC RES	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.014	4.228	3.903	3.764	3.889	3.806	3.835	3.795	4.188	4.377	4.842	4.629	5.027	6.254
CANCER RES	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.847	2.826	2.924	3.035	3.1	3.074	3.212	3.126	3.176	3.206	3.021	2.992	3.113	3.614
ADV MICROB PHYSIOL	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	3.606	4.209	3.162	3.098	3.508	2.274	2.172	1.983	1.63	1.394	1.061	1.043	1.361	1.279
BEHAV BRAIN SCI	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	7.317	8.533	9.32	11.401	10.76	10.969	10.342	10.686	11.205	9.859	8.862	8.915	7.997	8.972
ADV INORG CHEM	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	1.7	2.071	1.303	1.331	0.798	0.79	0.917	0.893	0.937	0.766	0.708	0.547	0.626	0.607
ADV CANCER RES	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	3.265	2.191	2.3	2.125	2.373	2.067	2.408	2.02	1.719	1.515	1.708	1.746	1.867	1.638
J NEUROSCI	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.301	3.544	3.425	3.409	3.255	3.17	3.058	2.862	2.785	2.756	2.654	2.701	2.583	2.65
J CLIN ONCOL	3.916	3.916	3.916	3.916	3.916	3.916	3.916	3.916	3.916	3.916	3.916	4.166	4.528	4.995	5.56	5.899	6.041	6.158	6.739	6.769	7.739	8.62	9.413	12.032
CATAL REV	3.58	3.58	3.58	3.58	3.58	3.58	3.58	3.58	3.58	3.58	3.58	3.772	3.416	3.239	2.908	3.002	2.857	2.82	2.342	2.242	1.865	1.739	1.869	2.745
REP PROG PHYS	6.463	6.463	6.463	6.463	6.463	6.463	6.463	6.463	6.463	6.463	6.463	6.651	6.889	7.93	7.727	7.977	8.758	8.761	7.761	7.609	6.88	7.161	7.487	7.314
STRUCTURE	3.121	3.121	3.121	3.121	3.121	3.121	3.121	3.121	3.121	3.121	3.121	2.997	3.126	3.388	3.339	3.253	3.415	3.17	3.232	3.021	2.716	2.48	2.319	2.43
CURR OPIN STRUC BIOL	5.261	5.261	5.261	5.261	5.261	5.261	5.261	5.261	5.261	5.261	5.261	5.105	5.224	4.9	4.87	4.584	4.539	4.047	3.548	3.534	3.311	3.232	2.995	2.939
NAT BIOTECHNOL	9.523	9.523	9.523	9.523	9.523	9.523	9.523	9.523	9.523	9.523	9.523	10.599	11.806	12.244	12.948	14.891	17.56	19.208	20.953	23.881	22.186	22.167	22.474	25.083
CURR OPIN NEUROBIOL	5.031	5.031	5.031	5.031	5.031	5.031	5.031	5.031	5.031	5.031	5.031	5.04	4.96	4.773	4.725	4.243	4.031	3.559	3.51	3.552	3.47	3.387	3.002	3.274
REV PHYSIOL BIOCH P	4.608	4.608	4.608	4.608	4.608	4.608	4.608	4.608	4.608	4.608	4.608	1.905	1.905	1.905	2.177	1.69	1.754	2.026	1.655	1.555	1.261	1.298	1.57	1.229
FRONT NEUROENDOCRIN	3.077	3.077	3.077	3.077	3.077	3.077	3.077	3.077	3.077	3.077	3.077	3.314	4.05	3.9	3.825	3.527	3.419	3.212	3.062	2.863	2.846	2.738	3.324	2.581
TRENDS PLANT SCI	4.455	4.455	4.455	4.455	4.455	4.455	4.455	4.455	4.455	4.455	4.455	3.753	3.983	3.816	3.885	4.174	4.802	4.829	4.712	4.365	4.462	4.341	4.758	5.305
PSYCHOL REV	5.872	5.872	5.872	5.872	5.872	5.872	5.872	5.872	5.872	5.872	5.872	6.783	5.534	5.708	5.945	6.137	5.591	5.799	6.017	4.923	4.157	4.607	4.386	4.858
BIOESSAYS	2.778	2.778	2.778	2.778	2.778	2.778	2.778	2.778	2.778	2.778	2.778	2.603	2.441	2.203	2.062	2.01	1.997	2.123	2.084	1.973	1.886	1.959	2.025	1.795
PROG MATER SCI	6.093	6.093	6.093	6.093	6.093	6.093	6.093	6.093	6.093	6.093	6.093	7.235	8.023	9.694	9.271	8.686	9.311	9.074	10.366	9.593	7.741	7.67	8.322	7.972
J BIOL CHEM	2.289	2.289	2.289	2.289	2.289	2.289	2.289	2.289	2.289	2.289	2.289	2.273	2.222	2.188	2.031	1.945	1.84	1.74	1.649	1.587	1.55	1.503	1.443	1.576
J IMMUNOL	2.398	2.398	2.398	2.398	2.398	2.398	2.398	2.398	2.398	2.398	2.398	2.385	2.213	2.243	2.266	2.201	2.07	2.018	1.971	2.044	1.816	1.712	1.745	1.968
ADV PHYS	8.597	8.597	8.597	8.597	8.597	8.597	8.597	8.597	8.597	8.597	8.597	9.262	9.509	13.718	17.985	18.871	16.088	14.904	11.559	10.308	12.618	13.057	15.688	13.542
SURF SCI REP	9.507	9.507	9.507	9.507	9.507	9.507	9.507	9.507	9.507	9.507	9.507	8.615	6.837	7.905	7.82	8.825	9.371	6.385	5.576	5.58	4.769	3.984	4.193	5.224
ONCOGENE	2.546	2.546	2.546	2.546	2.546	2.546	2.546	2.546	2.546	2.546	2.546	2.675	2.786	2.87	2.82	2.759	2.858	2.627	2.368	2.126	1.996	1.938	1.919	2.092
J AM COLL CARDIOL	3.803	3.803	3.803	3.803	3.803	3.803	3.803	3.803	3.803	3.803	3.803	3.725	4.08	4.24	4.884	5.13	5.368	6.022	6.455	7.412	7.474	7.214	7.72	8.967
J BONE MINER RES	2.078	2.078	2.078	2.078	2.078	2.078	2.078	2.078	2.078	2.078	2.078	2.294	2.158	2.256	2.249	2.062	2.108	2.263	2.036	2.245	2.207	2.018	1.986	1.93
TRENDS ECOL EVOL	8.718	8.718	8.718	8.718	8.718	8.718	8.718	8.718	8.718	8.718	8.718	7.846	7.75	7.573	7.913	7.274	8.214	8.768	8.672	7.392	7.674	7.491	7.152	7.357
CHEM SOC REV	5.68	5.68	5.68	5.68	5.68	5.68	5.68	5.68	5.68	5.68	5.68	6.382	6.408	7.99	8.089	8.927	9.09	9.597	9.849	10.52	10.9	10.811	11.368	12.249
CURR BIOL	6.733	6.733	6.733	6.733	6.733	6.733	6.733	6.733	6.733	6.733	6.733	6.842	6.762	6.314	5.888	5.551	5.308	4.99	4.942	4.736	4.754	4.707	4.667	4.917
AM J PATHOL	2.298	2.298	2.298	2.298	2.298	2.298	2.298	2.298	2.298	2.298	2.298	2.299	2.203	2.185	2.064	1.882	1.795	1.731	1.652	1.545	1.501	1.364	1.294	1.415
AM J PSYCHIAT	3.438	3.438	3.438	3.438	3.438	3.438	3.438	3.438	3.438	3.438	3.438	3.657	3.986	4.07	4.544	5.504	5.204	5.427	5.653	5.726	5.346	5.473	5.769	6.78
HUM GENE THER	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.326	1.297	1.418	1.311	1.265	1.094	1.054	1.038	1.175	1.286	1.194	1.267	1.339	1.343
PHYS REV LETT	3.218	3.218	3.218	3.218	3.218	3.218	3.218	3.218	3.218	3.218	3.218	3.298	3.293	3.47	3.518	3.606	3.466	3.456	3.286	3.261	3.19	3.203	3.153	3.104
J AM SOC NEPHROL	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.245	2.409	2.566	2.757	2.82	2.985	3.25	3.377	3.404	3.288	3.295	3.058	3.224	3.464
VITAM HORM	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.136	1.109	1.182	1.182	0.942	0.847	0.751	0.712	0.622	0.611	0.641	0.546	0.645	0.832
MOL CELL NEUROSCI	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.732	1.809	1.616	1.723	1.541	1.42	1.441	1.312	1.235	1.233	1.186	1.097	0.949	1.094
PHYS TODAY	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.167	3.003	2.823	2.699	2.987	3.063	2.969	2.726	2.204	2.149	1.615	1.531	1.588	1.378
PSYCHOL BULL	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	7.89	8.244	8.397	8.202	8.095	9.087	9.618	10.089	10.349	9.248	9.011	9.725	10.18	11.387
GENE THER	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.309	1.231	1.365	1.238	1.291	1.129	1.078	0.926	1.058	0.97	0.917	0.947	0.927	1.027
ADV CHEM PHYS	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.076	1.289	1.528	1.912	1.263	0.802	1.034	0.638	0.612	0.743	0.688	0.466
RNA	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	3.088	2.919	2.804	2.769	2.589	2.606	2.459	2.352	2.303	2.324	2.507	2.469	2.183	2.197
ANN SURG	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.694	2.699	2.981	2.92	3.036	2.863	2.808	3.225	3.283	3.298	3.163	3.321	3.166	3.936
IMMUNOL REV	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.179	5.25	4.847	5.522	5.319	5.48	5.43	5.01	4.812	4.7	3.991	4.015	4.315	4.923
ANNU REV NUTR	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.222	4.265	4.181	3.34	3.561	3.755	3.51	3.317	3.17	3.564	3.76	3.242	3.975	4.419
HEPATOLOGY	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	2.981	3.403	3.065	3.446	3.522	3.606	3.818	3.945	3.837	3.873	4.025	4.148	4.439	5.126
J CEREBR BLOOD F MET	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.699	1.866	1.808	1.686	1.851	1.867	1.755	1.785	1.881	1.817	1.895	1.791	1.718	1.783
J VIROL	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.516	1.575	1.554	1.597	1.593	1.469	1.542	1.455	1.458	1.454	1.342	1.381	1.429	1.653
PLANT J	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	3.022	2.656	2.829	2.533	2.423	2.474	2.538	2.247	2.1	2.166	2.091	2.142	2.112	2.171
ANNU REV ENTOMOL	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	5.417	4.656	4.866	5.263	5.071	5.331	4.901	5.41	5.221	5.066	4.959	5.272	5.381	5.626
J MOL BIOL	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.256	2.147	2.049	1.847	1.823	1.798	1.735	1.66	1.687	1.88	1.991	2.034	2.048	2.326
SEMIN LIVER DIS	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.632	1.639	1.524	1.794	2.082	2.154	2.412	2.316	2.608	1.936	1.709	1.523	1.507	1.821
BRAIN PATHOL	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.463	1.788	1.684	1.661	1.645	1.593	1.461	1.325	1.55	1.732	1.832	1.925	1.76	1.914
J AM CHEM SOC	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.725	2.705	2.753	2.799	3.02	3.072	3.286	3.527	3.789	3.957	3.961	3.993	4.1
MOL MICROBIOL	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.378	2.364	2.427	2.266	2.156	2.022	2.125	1.883	1.827	1.704	1.591	1.501	1.354	1.42
ANNU REV PHYS CHEM	6.755	6.755	6.755	6.755	6.755	6.755	6.755	6.755	6.755	6.755	6.755	7.143	6.676	6.928	7.474	8.113	6.71	6.673	6.836	7.057	7.109	5.848	5.022	5.384
CEREB CORTEX	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.098	3.128	3.211	3.019	2.997	3.117	3.462	3.29	3.383	2.971	2.703	2.558	2.43	2.382
GENOME RES	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.349	5.063	5.622	6.568	7.155	7.473	8.122	8.372	8.238	7.962	8.083	6.768	7.028	7.306
ADV ATOM MOL OPT PHY	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	3.166	1.938	1.825	2.015	2.024	1.817	2.547	2.607	2.159	1.853	2.235	2.102	1.422	1.464
BRAIN	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.527	3.678	3.766	3.914	4.094	3.874	3.846	4.11	4.068	4.254	4.548	4.474	4.953
DIABETOLOGIA	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.029	2.179	1.983	2.283	2.197	2.327	2.235	2.303	2.347	2.309	2.351	2.237	2.33	2.868
MECH DEVELOP	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.707	1.69	1.615	1.447	1.482	1.324	1.158	1.023	0.837	0.623	0.791	0.757	0.799	0.721
ARTERIOSCL THROM VAS	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.797	2.856	2.608	2.578	2.607	2.314	2.194	2.114	2.147	2.096	2.019	1.829	1.823	2.079
ECOL MONOGR	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.518	4.106	3.995	4.072	3.745	3.71	3.98	4.238	4.25	4.0	3.862	4.023	4.027	3.819
DEV BIOL	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.407	2.281	2.235	1.989	2.046	1.737	1.739	1.525	1.522	1.318	1.362	1.146	1.214	1.28
CELL DEATH DIFFER	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.337	3.5	3.519	3.432	3.239	3.105	2.901	3.022	2.734	2.736	2.64	2.657	2.726	3.185
EUR J IMMUNOL	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.909	1.937	1.878	1.976	2.006	1.97	1.73	1.69	1.589	1.662	1.483	1.435	1.471	1.674
