Journal	JournalFullName	ISSN	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
ACAD MANAGE J	ACADEMY OF MANAGEMENT JOURNAL	0001-4273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.777	5.319	5.689	5.597	7.588	7.679	7.7	7.7
ACAD MANAGE PERSPECT	ACADEMY OF MANAGEMENT PERSPECTIVES	1558-9080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.071	2.652	3.067	2.774	3.651	3.606	3.996	3.996
ACAD MANAGE REV	ACADEMY OF MANAGEMENT REVIEW	0363-7425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.446	6.414	6.561	5.622	8.462	7.885	8.937	8.937
ACAD MED	ACADEMIC MEDICINE	1040-2446	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	1.103	0.944	0.973	1.02	1.132	1.189	1.347	1.388	1.651	1.798	1.831	2.104	2.364	2.71	2.864	2.819	2.819
ACAD PEDIATR	ACADEMIC PEDIATRICS	1876-2859	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	0.849	1.174	0.989	1.044	1.108	1.112	1.315	1.232	1.33	1.532	1.386	1.403	1.403
ACAD PSYCHIATR	ACADEMIC PSYCHIATRY	1042-9670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.363	0.428	0.417	0.599	0.867	0.871	0.859	0.859
ACAD RADIOL	ACADEMIC RADIOLOGY	1076-6332	0.538	0.538	0.538	0.538	0.538	0.538	0.538	0.538	0.538	0.538	0.538	0.584	0.635	0.663	0.635	0.635	0.676	0.666	0.663	0.653	0.691	0.642	0.696	0.834	0.937	0.96	0.96
ACAD-REV LATINOAM AD	ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION	1012-8255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047	0.08	0.051	0.068	0.136	0.202	0.196	0.196
ACAROLOGIA	ACAROLOGIA	0044-586X	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.249	0.296	0.257	0.261	0.308	0.324	0.324
ACCIDENT ANAL PREV	ACCIDENT ANALYSIS AND PREVENTION	0001-4575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.915	0.815	0.806	0.974	1.186	1.231	1.245	1.245
ACCOUNT AUDIT ACCOUN	ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL	0951-3574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.505	0.63	0.556	0.601	0.918	0.916	1.096	1.096
ACCOUNT BUS RES	ACCOUNTING AND BUSINESS RESEARCH	0001-4788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.431	0.405	0.503	0.45	0.977	0.768	0.861	0.861
ACCOUNT FINANC	ACCOUNTING AND FINANCE	0810-5391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.344	0.208	0.271	0.262	0.494	0.457	0.549	0.549
ACCOUNT FORUM	ACCOUNTING FORUM	0155-9982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.701	0.681	0.681
ACCOUNT HORIZ	ACCOUNTING HORIZONS	0888-7993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.537	0.65	0.594	0.626	1.02	1.336	1.205	1.205
ACCOUNT ORG SOC	ACCOUNTING ORGANIZATIONS AND SOCIETY	0361-3682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.031	1.075	1.258	1.038	1.956	1.983	2.153	2.153
ACCOUNT REV	ACCOUNTING REVIEW	0001-4826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	2.182	2.318	2.251	3.695	4.116	3.507	3.507
ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	6.451	5.925	6.387	7.076	7.299	7.951	7.988	7.573	7.326	7.435	7.125	6.606	6.244	6.27	5.952	5.649	5.649
ACCREDIT QUAL ASSUR	ACCREDITATION AND QUALITY ASSURANCE	0949-1775	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.168	0.117	0.152	0.162	0.162	0.19	0.215	0.2	0.199	0.177	0.133	0.159	0.105	0.122	0.127	0.131	0.131
ACI MATER J	ACI MATERIALS JOURNAL	0889-325X	0.838	0.838	0.838	0.838	0.838	0.838	0.838	0.838	0.838	0.838	0.838	0.517	0.731	0.659	0.726	0.656	0.561	0.551	0.6	0.525	0.526	0.453	0.392	0.438	0.385	0.419	0.419
ACI STRUCT J	ACI STRUCTURAL JOURNAL	0889-3241	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.77	0.759	0.787	0.62	0.669	0.76	0.708	0.634	0.609	0.58	0.56	0.494	0.438	0.513	0.434	0.404	0.404
ACM COMPUT SURV	ACM COMPUTING SURVEYS	0360-0300	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	5.12	4.795	4.312	4.366	5.404	4.102	3.851	3.211	2.798	2.798	2.601	2.521	2.419	2.631	3.297	4.038	4.038
ACM J COMPUT CULT HE	ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE	1556-4673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.276	0.0	0.221	0.559	0.654	0.504	0.504
ACM J EMERG TECH COM	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	1550-4832	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.353	0.432	0.378	0.366	0.511	0.529	0.519	0.496	0.575	0.562	0.461	0.461
ACM SIGCOMM COMP COM	ACM SIGCOMM COMPUTER COMMUNICATION REVIEW	0146-4833	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.465	1.436	1.161	0.739	1.527	2.376	2.044	0.742	0.573	0.508	0.508
ACM T ALGORITHMS	ACM TRANSACTIONS ON ALGORITHMS	1549-6325	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.796	0.904	1.095	1.098	0.832	1.075	0.823	0.918	0.989	1.239	1.239
ACM T APPL PERCEPT	ACM TRANSACTIONS ON APPLIED PERCEPTION	1544-3558	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.66	0.847	0.616	0.524	0.377	0.519	0.431	0.409	0.391	0.452	0.518	0.518
ACM T ARCHIT CODE OP	ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION	1544-3566	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.237	0.386	0.205	0.376	0.527	0.449	0.433	0.42	0.337	0.322	0.406	0.406
ACM T ASIAN LOW-RESO	ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING	2375-4699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.116	0.097	0.275	0.241	0.273	0.273
ACM T COMPUT EDUC	ACM TRANSACTIONS ON COMPUTING EDUCATION	1946-6226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.576	0.396	0.439	0.391	0.551	0.568	0.568
ACM T COMPUT LOG	ACM TRANSACTIONS ON COMPUTATIONAL LOGIC	1529-3785	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	1.053	0.759	0.531	0.737	1.012	0.918	0.486	0.645	0.552	0.611	0.486	0.434	0.434
ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS	0734-2071	1.152	1.152	1.152	1.152	1.152	1.152	1.152	1.152	1.152	1.152	1.152	1.257	1.444	1.325	1.565	1.051	0.736	0.666	1.243	1.499	1.395	1.549	1.386	1.015	0.563	0.325	0.325
ACM T COMPUT-HUM INT	ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION	1073-0516	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.627	0.6	0.575	0.541	0.539	0.549	0.706	0.502	0.731	0.813	0.846	0.846
ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS	0362-5915	1.47	1.47	1.47	1.47	1.47	1.47	1.47	1.47	1.47	1.47	1.47	1.441	1.467	1.393	0.995	1.117	1.195	0.889	0.677	0.888	0.654	0.684	1.111	1.163	1.311	1.334	1.334
ACM T DES AUTOMAT EL	ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS	1084-4309	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.458	0.409	0.434	0.344	0.432	0.406	0.347	0.381	0.254	0.301	0.454	0.356	0.327	0.31	0.34	0.264	0.264
ACM T EMBED COMPUT S	ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS	1539-9087	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.795	0.477	0.325	0.371	0.461	0.462	0.481	0.384	0.43	0.414	0.44	0.44
ACM T GRAPHIC	ACM TRANSACTIONS ON GRAPHICS	0730-0301	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	1.833	2.045	1.629	1.682	2.17	1.972	2.316	1.876	1.999	1.75	2.361	2.031	1.802	2.019	2.52	2.439	2.439
ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS	1046-8188	2.031	2.031	2.031	2.031	2.031	2.031	2.031	2.031	2.031	2.031	2.031	1.776	1.313	0.93	1.016	0.863	0.788	0.656	0.62	0.875	0.869	0.745	0.605	0.997	0.918	1.166	1.166
ACM T INTEL SYST TEC	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	2157-6904	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.162	3.754	3.175	1.095	1.103	1.081	1.268	1.65	2.698	2.698
ACM T INTERACT INTEL	ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS	2160-6455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.529	0.787	0.787
ACM T INTERNET TECHN	ACM TRANSACTIONS ON INTERNET TECHNOLOGY	1533-5399	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.602	0.498	0.85	0.373	0.508	0.457	0.57	0.498	0.78	0.817	0.833	0.833
ACM T KNOWL DISCOV D	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	1556-4681	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	1.454	0.887	0.92	0.944	0.939	0.932	0.857	0.871	0.895	0.895
ACM T MATH SOFTWARE	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	0098-3500	1.511	1.511	1.511	1.511	1.511	1.511	1.511	1.511	1.511	1.511	1.511	1.82	1.393	1.54	1.497	1.748	2.047	2.105	2.205	2.552	1.846	2.095	1.793	1.357	1.113	1.287	1.287
ACM T MODEL COMPUT S	ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	1049-3301	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.551	0.554	0.562	0.69	0.65	0.595	0.591	0.72	0.526	0.395	0.353	0.443	0.443
ACM T MULTIM COMPUT	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	1551-6857	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.894	0.83	0.857	0.543	0.636	0.509	0.522	0.529	0.69	0.702	0.841	0.962	1.029	1.029
ACM T PRIV SECUR	ACM TRANSACTIONS ON PRIVACY AND SECURITY	2471-2566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.716	0.679	0.679
ACM T PROGR LANG SYS	ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	0164-0925	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.923	0.75	0.747	0.647	0.904	0.806	0.941	1.427	1.251	1.281	0.487	0.902	0.433	0.298	0.778	0.754	0.754
ACM T RECONFIG TECHN	ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS	1936-7406	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.337	0.215	0.435	0.348	0.294	0.469	0.486	0.595	0.595
ACM T SENSOR NETWORK	ACM TRANSACTIONS ON SENSOR NETWORKS	1550-4859	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.53	1.31	1.098	0.983	0.989	0.915	0.753	0.65	0.53	0.542	0.499	0.556	0.756	0.756
ACM T SOFTW ENG METH	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	1049-331X	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.077	1.284	1.505	1.08	1.049	0.877	1.012	1.048	0.956	0.997	0.9	1.042	0.899	1.013	0.897	1.016	1.016
ACM T STORAGE	ACM TRANSACTIONS ON STORAGE	1553-3077	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.548	0.966	0.838	0.73	0.598	0.674	0.426	0.353	0.353
ACM T WEB	ACM TRANSACTIONS ON THE WEB	1559-1131	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.736	0.925	1.334	1.325	1.036	1.295	0.973	0.972	0.599	0.362	0.376	0.655	0.491	0.581	0.581
ACOUST AUST	ACOUSTICS AUSTRALIA	0814-6039	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.095	0.093	0.159	0.218	0.228	0.253	0.152	0.211	0.251	0.37	0.357	0.357
ACOUST PHYS+	ACOUSTICAL PHYSICS	1063-7710	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.126	0.1	0.097	0.119	0.142	0.112	0.161	0.165	0.177	0.159	0.146	0.169	0.137	0.148	0.164	0.149	0.149
ACROSS LANG CULT	ACROSS LANGUAGES AND CULTURES	1585-1923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.066	0.325	0.234	0.506	0.699	0.584	0.584
ACS APPL ELECTRON MA	ACS APPLIED ELECTRONIC MATERIALS	2637-6113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.807	0.918	0.918
ACS APPL ENERG MATER	ACS APPLIED ENERGY MATERIALS	2574-0962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.207	1.217	1.217
ACS APPL MATER INTER	ACS APPLIED MATERIALS & INTERFACES	1944-8244	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	0.881	1.277	1.321	1.279	1.373	1.462	1.58	1.634	1.649	1.686	1.703	1.607	1.655	1.655
ACS APPL NANO MATER	ACS APPLIED NANO MATERIALS	2574-0970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.949	0.969	0.969
ACS APPL POLYM MATER	ACS APPLIED POLYMER MATERIALS	2637-6105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.737	0.816	0.816
ACS BIOMATER SCI ENG	ACS BIOMATERIALS SCIENCE & ENGINEERING	2373-9878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.826	0.984	0.968	0.894	0.919	0.858	0.834	0.834
ACS CATAL	ACS CATALYSIS	2155-5435	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	1.641	2.038	2.283	2.419	2.747	2.867	2.895	3.005	3.13	3.048	3.147	3.147
ACS CENTRAL SCI	ACS CENTRAL SCIENCE	2374-7943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.186	4.6	4.688	4.597	4.824	4.928	4.859	4.859
ACS CHEM BIOL	ACS CHEMICAL BIOLOGY	1554-8929	2.55	2.55	2.55	2.55	2.55	2.55	2.55	2.55	2.55	2.55	2.55	2.174	2.393	2.763	2.404	2.136	2.262	2.084	2.009	1.897	1.805	1.674	1.634	1.682	1.462	1.373	1.373
ACS CHEM NEUROSCI	ACS CHEMICAL NEUROSCIENCE	1948-7193	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.215	1.257	1.404	1.321	1.393	1.185	1.283	1.109	1.158	1.07	1.113	1.032	1.032
ACS EARTH SPACE CHEM	ACS EARTH AND SPACE CHEMISTRY	2472-3452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.929	0.918	0.918
ACS ENERGY LETT	ACS ENERGY LETTERS	2380-8195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.866	4.47	5.223	5.629	5.313	5.602	5.602
ACS INFECT DIS	ACS INFECTIOUS DISEASES	2373-8227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.218	1.489	1.742	1.528	1.491	1.323	1.159	1.159
ACS MACRO LETT	ACS MACRO LETTERS	2161-1653	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.473	1.629	1.673	1.773	1.661	1.565	1.474	1.451	1.411	1.378	1.378
ACS MATER LETT	ACS MATERIALS LETTERS	2639-4979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.304	2.633	2.633
ACS MED CHEM LETT	ACS MEDICINAL CHEMISTRY LETTERS	1948-5875	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	1.045	0.918	0.991	0.872	0.946	0.987	1.035	0.965	1.019	0.946	0.916	0.996	0.996
ACS NANO	ACS NANO	1936-0851	1.825	1.825	1.825	1.825	1.825	1.825	1.825	1.825	1.825	1.825	1.825	1.825	2.707	3.393	3.767	4.09	4.034	3.979	4.112	3.992	4.045	3.883	3.917	3.689	3.558	3.701	3.701
ACS OMEGA	ACS OMEGA	2470-1343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.622	0.622
ACS PHOTONICS	ACS PHOTONICS	2330-4022	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.196	2.492	2.343	2.199	2.107	2.092	1.897	1.893	1.893
ACS SENSORS	ACS SENSORS	2379-3694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.316	1.461	1.659	1.663	1.619	1.692	1.692
ACS SUSTAIN CHEM ENG	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	2168-0485	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	1.012	1.18	1.143	1.209	1.301	1.382	1.363	1.407	1.407
ACS SYNTH BIOL	ACS SYNTHETIC BIOLOGY	2161-5063	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	1.527	3.283	2.005	2.283	1.904	2.029	1.636	1.686	1.426	1.324	1.324
