JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
ACCOUNTING HORIZONS,ACCOUNT HORIZ,0888-7993,1558-7975,2.5,1.205
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,0361-3682,1873-6289,4.7,2.153
ACCOUNTING REVIEW,ACCOUNT REV,0001-4826,1558-7967,4.1,3.507
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,1520-4898,18.3,5.649
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,1432-0517,0.9,0.131
ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,1944-737X,1.7,0.419
ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,1944-7361,1.8,0.404
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,1557-7341,16.6,4.038
ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,ACM SIGCOMM COMP COM,0146-4833,1943-5819,2.8,0.508
ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM T ARCHIT CODE OP,1544-3566,1544-3973,1.6,0.406
ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,ACM T ASIAN LOW-RESO,2375-4699,2375-4702,2,0.273
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,ACM T COMPUT LOG,1529-3785,1557-945X,0.5,0.434
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,1557-7333,1.5,0.325
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,ACM T COMPUT-HUM INT,1073-0516,1557-7325,3.7,0.846
ACM TRANSACTIONS ON COMPUTING EDUCATION,ACM T COMPUT EDUC,1946-6226,1946-6226,2.4,0.568
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1557-4644,1.8,1.334
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,1557-7309,1.4,0.264
ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,ACM T EMBED COMPUT S,1539-9087,1558-3465,2,0.44
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1557-7368,6.2,2.439
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,1558-2868,5.6,1.166
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,ACM T INTEL SYST TEC,2157-6904,2157-6912,5,2.698
ACM TRANSACTIONS ON INTERNET TECHNOLOGY,ACM T INTERNET TECHN,1533-5399,1557-6051,5.3,0.833
ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,ACM T KNOWL DISCOV D,1556-4681,1556-472X,3.6,0.895
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1557-7295,2.7,1.287
ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,ACM T MODEL COMPUT S,1049-3301,1558-1195,0.9,0.443
ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,ACM T MULTIM COMPUT,1551-6857,1551-6865,5.1,1.029
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1558-4593,1.3,0.754
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,ACM T RECONFIG TECHN,1936-7406,1936-7414,2.3,0.595
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,1557-7392,4.4,1.016
ACM TRANSACTIONS ON STORAGE,ACM T STORAGE,1553-3077,1553-3093,1.7,0.353
ACOUSTICAL PHYSICS,ACOUST PHYS+,1063-7710,1562-6865,0.8,0.149
ACOUSTICS AUSTRALIA,ACOUST AUST,0814-6039,1839-2571,1.7,0.357
ACROSS LANGUAGES AND CULTURES,ACROSS LANG CULT,1585-1923,1588-2519,0.7,0.584
ACS APPLIED MATERIALS & INTERFACES,ACS APPL MATER INTER,1944-8244,1944-8252,9.5,1.655
ACS BIOMATERIALS SCIENCE & ENGINEERING,ACS BIOMATER SCI ENG,2373-9878,2373-9878,5.8,0.834
ACS CATALYSIS,ACS CATAL,2155-5435,2155-5435,12.9,3.147
ACS CHEMICAL BIOLOGY,ACS CHEM BIOL,1554-8929,1554-8937,4,1.373
ACS CHEMICAL NEUROSCIENCE,ACS CHEM NEUROSCI,1948-7193,1948-7193,5,1.032
ACS INFECTIOUS DISEASES,ACS INFECT DIS,2373-8227,N/A,5.3,1.159
ACS MACRO LETTERS,ACS MACRO LETT,N/A,2161-1653,5.8,1.378
ACS MEDICINAL CHEMISTRY LETTERS,ACS MED CHEM LETT,1948-5875,N/A,4.2,0.996
ACS NANO,ACS NANO,1936-0851,1936-086X,17.1,3.701
ACS PHOTONICS,ACS PHOTONICS,2330-4022,N/A,7,1.893
ACS SUSTAINABLE CHEMISTRY & ENGINEERING,ACS SUSTAIN CHEM ENG,2168-0485,2168-0485,8.4,1.407
ACS SYNTHETIC BIOLOGY,ACS SYNTH BIOL,2161-5063,N/A,4.7,1.324
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,1091-5397,1536-593X,1.5,0.254
ACTA ACUSTICA,ACTA ACUST,N/A,2681-4617,1.4,0.351
ACTA ADRIATICA,ACTA ADRIAT,0001-5113,1846-0453,0.9,0.21
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,0906-4702,1651-1972,0.9,0.197
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,1651-1913,1.6,0.257
ACTA AGROBOTANICA,ACTA AGROBOT,0065-0951,2300-357X,1.2,0.144
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,1588-2535,1.1,0.125
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1809-4392,0.8,0.245
ACTA ANAESTHESIOLOGICA BELGICA,ACTA ANAESTH BELG,0001-5164,N/A,0.1,0.028
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,0001-5172,1399-6576,2.1,0.779
ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,ACTA ANAL,0353-5150,1874-6349,0.4,0.264
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,1572-9036,1.6,0.663
ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,0065-101X,1600-0390,0.8,0.73
ACTA ARITHMETICA,ACTA ARITH,0065-1036,1730-6264,0.7,0.613
ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,1879-2030,3.5,0.648
ACTA ASTRONOMICA,ACTA ASTRONOM,0001-5237,0001-5237,2.2,0.821
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,1745-7270,3.7,0.632
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,1734-154X,1.7,0.298
ACTA BIOETHICA,ACTA BIOETH,0717-5906,1726-569X,0.4,0.077
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,0001-5296,1898-0295,1.3,0.1
ACTA BIOMATERIALIA,ACTA BIOMATER,1742-7061,1878-7568,9.7,1.499
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,1851-6114,0.1,0.019
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,1572-8358,1.3,0.277
ACTA BOREALIA,ACTA BOREAL,0800-3831,1503-111X,1,0.374
ACTA BOTANICA BRASILICA,ACTA BOT BRAS,0102-3306,1677-941X,1.1,0.337
ACTA BOTANICA CROATICA,ACTA BOT CROAT,0365-0588,1847-8476,1.3,0.246
ACTA BOTANICA MEXICANA,ACTA BOT MEX,N/A,2448-7589,0.8,0.171
ACTA CARDIOLOGICA,ACTA CARDIOL,0001-5385,1784-973X,1.6,0.366
ACTA CARDIOLOGICA SINICA,ACTA CARDIOL SIN,1011-6842,1011-6842,1.9,0.337
ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,1580-2612,0.7,0.181
ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,N/A,2.5,0.237
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,1580-3155,1.2,0.128
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,1733-5329,1,0.28
ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,ACTA CHIR ORTHOP TR,0001-5415,0001-5415,0.4,0.082
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,0001-5458,0001-5458,0.8,0.231
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,1233-2356,2083-5736,1.9,0.19
ACTA CIRURGICA BRASILEIRA,ACTA CIR BRAS,0102-8650,1678-2674,1.1,0.195
ACTA CLASSICA,ACTA CLASS,0065-1141,2227-538X,0.2,0.196
ACTA CLINICA BELGICA,ACTA CLIN BELG,1784-3286,2295-3337,1.6,0.345
ACTA CLINICA CROATICA,ACTA CLIN CROAT,0353-9466,1333-9451,0.6,0.215
ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,ACTA CRYSTALLOGR A,2053-2733,2053-2733,1.8,0.721
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,ACTA CRYSTALLOGR B,N/A,2052-5206,1.9,0.486
ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,ACTA CRYSTALLOGR C,2053-2296,2053-2296,0.8,0.116
ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,ACTA CRYSTALLOGR D,2059-7983,2059-7983,2.2,3.966
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,ACTA CRYSTALLOGR E,2056-9890,2056-9890,0.9,0.073
ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS,ACTA CRYSTALLOGR F,N/A,2053-230X,0.9,0.291
ACTA CYTOLOGICA,ACTA CYTOL,0001-5547,1938-2650,1.8,0.521
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,1651-2057,3.6,1.11
ACTA DERMATOVENEROLOGICA CROATICA,ACTA DERMATOVENER CR,1330-027X,1847-6538,0.6,0.255
ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,1432-5233,3.8,0.988
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0374-1036,1804-6487,0.6,0.186
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,1784-3227,1784-3227,1.5,0.295
ACTA GEODAETICA ET GEOPHYSICA,ACTA GEOD GEOPHYS,2213-5812,2213-5820,1.4,0.287
ACTA GEODYNAMICA ET GEOMATERIALIA,ACTA GEODYN GEOMATER,1214-9705,N/A,0.9,0.18
ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK,ACTA GEOGR SLOV,1581-6613,1854-5106,1.7,0.229
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0001-5709,2300-1887,1.1,0.441
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1000-9515,1755-6724,3.3,0.678
ACTA GEOPHYSICA,ACTA GEOPHYS,1895-6572,1895-7455,2.3,0.41
ACTA GEOTECHNICA,ACTA GEOTECH,1861-1125,1861-1133,5.7,1.276
ACTA GEOTECHNICA SLOVENICA,ACTA GEOTECH SLOV,1854-0171,1854-0171,0.6,0.14
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,0001-5792,1421-9662,2.4,0.549
ACTA HERPETOLOGICA,ACTA HERPETOL,1827-9635,1827-9643,0.8,0.187
ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,1618-0372,2.5,0.446
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,1347-5800,2.4,0.433
ACTA HISTORICA TALLINNENSIA,ACTA HIST TALLINENSI,1406-2925,1736-7476,0.3,0.4
ACTA HISTRIAE,ACTA HISTRIAE,1318-0185,2591-1767,0.2,0.164
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0137-1592,1734-1515,1,0.197
ACTA INFORMATICA,ACTA INFORM,0001-5903,1432-0525,0.6,0.467
ACTA KOREANA,ACTA KOREANA,1520-7412,N/A,0.2,0.303
ACTA LITERARIA,ACTA LIT,0717-6848,0717-6848,0.1,0.243
ACTA MATERIALIA,ACTA MATER,1359-6454,1873-2453,9.4,2.047
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,0001-5962,1871-2509,3.7,8.289
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,0236-5294,1588-2632,0.9,0.47
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,0252-9602,1572-9087,1,0.376
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,1439-8516,1439-7617,0.7,0.45
ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES,ACTA MATH APPL SIN-E,0168-9673,1618-3932,0.8,0.213
ACTA MECHANICA,ACTA MECH,0001-5970,1619-6937,2.7,0.442
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,0894-9166,1860-2134,2.2,0.378
ACTA MEDICA MEDITERRANEA,ACTA MEDICA MEDITERR,0393-6384,2283-9720,0.3,0.034
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,0386-300X,0386-300X,0.5,0.153
ACTA MEDICA PORTUGUESA,ACTA MEDICA PORT,0870-399X,1646-0758,1.2,0.255
ACTA METALLURGICA SINICA,ACTA METALL SIN,0412-1961,N/A,2.3,0.247
ACTA METALLURGICA SINICA-ENGLISH LETTERS,ACTA METALL SIN-ENGL,1006-7191,2194-1289,3.5,0.439
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,1217-8950,1588-2640,1.5,0.292
ACTA MONTANISTICA SLOVACA,ACTA MONTAN SLOVACA,1335-1788,N/A,1.6,0.145
ACTA MUSICOLOGICA,ACTA MUSICOLOGICA,0001-6241,N/A,0.2,0.292
ACTA NATURAE,ACTA NATURAE,2075-8251,2075-8251,2,0.4
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,0065-1400,1689-0035,1.4,0.327
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,0001-6268,0942-0940,2.4,0.645
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,0300-9009,2240-2993,2.7,0.564
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,0001-6314,1600-0404,3.5,0.878
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,1432-0533,12.7,5.472
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,1601-5215,1601-5215,3.8,0.864
ACTA NUMERICA,ACTA NUMER,0962-4929,1474-0508,14.2,10.646
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,0001-6349,1600-0412,4.3,1.274
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0253-505X,1869-1099,1.4,0.314
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,0001-6357,1502-3850,2,0.427
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1873-6238,1.8,0.416
ACTA OECONOMICA,ACTA OECON,0001-6373,1588-2659,0.8,0.111
ACTA OF BIOENGINEERING AND BIOMECHANICS,ACTA BIOENG BIOMECH,1509-409X,N/A,1,0.192
ACTA ONCOLOGICA,ACTA ONCOL,0284-186X,1651-226X,3.1,1.109
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,1755-375X,1755-3768,3.4,0.892
ACTA ORNITHOLOGICA,ACTA ORNITHOL,0001-6454,1734-8471,0.7,0.246
ACTA ORTHOPAEDICA,ACTA ORTHOP,1745-3674,1745-3682,3.7,1.397
ACTA ORTHOPAEDICA BELGICA,ACTA ORTHOP BELG,0001-6462,0001-6462,0.4,0.133
ACTA ORTHOPAEDICA ET TRAUMATOLOGICA TURCICA,ACTA ORTHOP TRAUMATO,1017-995X,1017-995X,1,0.401
ACTA ORTOPEDICA BRASILEIRA,ACTA ORTOP BRAS,1413-7852,1809-4406,0.7,0.18
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,0001-6489,1651-2251,1.4,0.383
ACTA OTORHINOLARYNGOLOGICA ITALICA,ACTA OTORHINOLARYNGO,0392-100X,1827-675X,2,0.56
ACTA PAEDIATRICA,ACTA PAEDIATR,0803-5253,1651-2227,3.8,0.908
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,0567-7920,1732-2421,1.8,0.593
ACTA PARASITOLOGICA,ACTA PARASITOL,1230-2821,1896-1851,1.5,0.308
ACTA PAULISTA DE ENFERMAGEM,ACTA PAUL ENFERM,0103-2100,1982-0194,0.7,0.17
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,1000-0569,2095-8927,1.8,0.424
ACTA PHARMACEUTICA,ACTA PHARMACEUT,1330-0075,1846-9558,2.8,0.31
ACTA PHILOSOPHICA,ACTA PHILOS,1121-2179,1825-6562,0.1,0.014
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,0587-4246,1898-794X,0.7,0.111
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,0587-4254,1509-5770,0.5,0.143
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,N/A,1,0.107
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,N/A,10.9,0.779
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,0137-5881,1861-1664,2.6,0.385
ACTA PHYSIOLOGICA,ACTA PHYSIOL,1748-1708,1748-1716,6.3,1.286
ACTA POLITICA,ACTA POLIT,0001-6810,1741-1416,1.2,0.849
ACTA POLONIAE HISTORICA,ACTA POL HIST,0001-6829,0001-6829,0.1,0.447
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,0001-6837,2353-5288,0.4,0.061
ACTA POLYMERICA SINICA,ACTA POLYM SIN,N/A,1000-3304,1.9,0.158
ACTA POLYTECHNICA HUNGARICA,ACTA POLYTECH HUNG,1785-8860,1785-8860,1.7,0.17
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,0065-1583,1689-0027,0.5,0.196
ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA,ACTA PSIQUIAT PSICOL,0001-6896,N/A,0.1,0.021
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,0001-690X,1600-0447,6.7,2.604
ACTA PSYCHOLOGICA,ACTA PSYCHOL,0001-6918,1873-6297,1.8,0.571
ACTA RADIOLOGICA,ACTA RADIOL,0284-1851,1600-0455,1.3,0.365
ACTA REUMATOLOGICA PORTUGUESA,ACTA REUMATOL PORT,0303-464X,0303-464X,1,0.357
ACTA SCIENTIAE VETERINARIAE,ACTA SCI VET,1678-0345,1679-9216,0.2,0.07
ACTA SCIENTIARUM MATHEMATICARUM,ACTA SCI MATH,0001-6969,2064-8316,0.5,0.323
ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,ACTA SCI POL-HORTORU,1644-0692,2545-1405,0.7,0.118
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,1807-8621,1807-8621,1.5,0.26
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,1806-2563,1807-8664,0.8,0.123
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,0001-6977,2083-9480,1,0.227
ACTA SOCIOLOGICA,ACTA SOCIOL,0001-6993,1502-3869,1.7,0.853
ACTA THEOLOGICA,ACTA THEOL,1015-8758,2309-9089,0.2,0.12
ACTA TROPICA,ACTA TROP,0001-706X,1873-6254,2.7,0.577
ACTA VETERINARIA BRNO,ACTA VET BRNO,0001-7213,1801-7576,0.6,0.103
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,0236-6290,1588-2705,0.9,0.214
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,0044-605X,1751-0147,2.1,0.471
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,0567-8315,1820-7448,0.6,0.144
ACTA VIROLOGICA,ACTA VIROL,0001-723X,1336-2305,1.7,0.242
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,0001-7272,1463-6395,1.2,0.258
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,0324-0770,N/A,0.5,0.096
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,1139-9287,1578-2735,1.5,0.383
ACTAS UROLOGICAS ESPANOLAS,ACTAS UROL ESP,0210-4806,1699-7980,1.1,0.197
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,0335-5322,1955-2564,0.3,0.302
ACTION RESEARCH,ACTION RES-LONDON,1476-7503,1741-2617,1.9,0.634
ACTIVE LEARNING IN HIGHER EDUCATION,ACT LEARN HIGH EDUC,1469-7874,1741-2625,5,1.226
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,0360-1293,2167-9010,0.3,0.041
ACUPUNCTURE IN MEDICINE,ACUPUNCT MED,0964-5284,1759-9873,2.5,0.523
AD HOC & SENSOR WIRELESS NETWORKS,AD HOC SENS WIREL NE,1551-9899,1552-0633,0.9,0.071
ADALYA,ADALYA,1301-2746,N/A,0.2,0.311
ADANSONIA,ADANSONIA,1280-8571,1639-4798,0.8,0.167
ADAPTATION-THE JOURNAL OF LITERATURE ON SCREEN STUDIES,ADAPTATION-UK,1755-0637,1755-0645,0.3,0.167
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,0736-5829,1543-2777,1.9,0.488
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1741-2633,1.6,0.372
ADDICTION,ADDICTION,0965-2140,1360-0443,6,2.428
ADDICTION BIOLOGY,ADDICT BIOL,1355-6215,1369-1600,3.4,0.926
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,1606-6359,1476-7392,2.9,0.869
ADDICTIVE BEHAVIORS,ADDICT BEHAV,0306-4603,1873-6327,4.4,1.245
ADICCIONES,ADICCIONES,0214-4840,N/A,3,0.507
ADMINISTRATION & SOCIETY,ADMIN SOC,0095-3997,1552-3039,2.3,0.907
ADMINISTRATION AND POLICY IN MENTAL HEALTH AND MENTAL HEALTH SERVICES RESEARCH,ADM POLICY MENT HLTH,0894-587X,1573-3289,2.6,1.023
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,0001-8392,1930-3815,10.4,9.289
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,0263-6174,2048-4038,2.9,0.406
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,0929-5607,1572-8757,3.3,0.452
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,0741-7136,1552-3047,1.3,0.721
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,0924-3046,1568-5519,2.9,0.344
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,0963-6935,2633-366X,2.4,0.223
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,1872-8294,16.1,3.064
ADVANCED ELECTRONIC MATERIALS,ADV ELECTRON MATER,2199-160X,2199-160X,6.2,1.509
ADVANCED ENERGY MATERIALS,ADV ENERGY MATER,1614-6832,1614-6840,27.8,6.094
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,1873-5320,8.8,1.197
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,1438-1656,1527-2648,3.6,0.723
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,19,3.977
