JournalFullName,Journal,ISSN,2021IF,2021AI
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,24.466,5.952
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,0949-1775,0.856,0.127
ACI MATERIALS JOURNAL,ACI MATER J,0889-325X,1.661,0.385
ACI STRUCTURAL JOURNAL,ACI STRUCT J,0889-3241,1.799,0.434
ACM COMPUTING SURVEYS,ACM COMPUT SURV,0360-0300,14.324,3.297
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,1556-4673,2.047,0.654
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,2.013,0.562
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,0146-4833,1.937,0.573
ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,1.113,0.989
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,1.676,0.452
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,1.444,0.322
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,2375-4699,1.471,0.241
ACM Transactions on Computational Logic,ACM T COMPUT LOG,1529-3785,0.898,0.486
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,1.692,0.563
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,1073-0516,4.106,0.813
ACM Transactions on Computing Education,ACM T COMPUT EDUC,1946-6226,2.493,0.551
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1.629,1.311
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,1.447,0.34
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,1.886,0.414
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,7.403,2.52
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,4.657,0.918
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,10.489,1.65
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,2160-6455,1.887,1.529
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,3.989,0.817
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,4.157,0.871
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,2.464,1.113
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,1049-3301,0.851,0.353
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,4.094,0.962
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,2471-2566,2.717,0.716
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1.714,0.778
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,2.837,0.486
ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,1550-4859,2.56,0.556
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,3.685,0.897
ACM Transactions on Storage,ACM T STORAGE,1553-3077,1.229,0.426
ACM Transactions on the Web,ACM T WEB,1559-1131,3.35,0.491
ACOUSTICAL PHYSICS,ACOUST PHYS+,1063-7710,1.116,0.164
Acoustics Australia,ACOUST AUST,0814-6039,1.891,0.37
Across Languages and Cultures,ACROSS LANG CULT,1585-1923,1.292,0.699
ACS Applied Electronic Materials,ACS APPL ELECTRON MA,2637-6113,4.494,0.807
ACS Applied Energy Materials,ACS APPL ENERG MATER,2574-0962,6.959,1.207
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,1944-8244,10.383,1.607
ACS Applied Nano Materials,ACS APPL NANO MATER,2574-0970,6.14,0.949
ACS Applied Polymer Materials,ACS APPL POLYM MATER,2637-6105,4.855,0.737
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,2373-9878,5.395,0.858
ACS Catalysis,ACS CATAL,2155-5435,13.7,3.048
ACS Central Science,ACS CENTRAL SCI,2374-7943,18.728,4.928
ACS Chemical Biology,ACS CHEM BIOL,1554-8929,4.634,1.462
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,1948-7193,5.78,1.113
ACS Combinatorial Science,ACS COMB SCI,2156-8952,3.903,0.761
ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,2472-3452,3.556,0.929
ACS Energy Letters,ACS ENERGY LETT,2380-8195,23.991,5.313
ACS Infectious Diseases,ACS INFECT DIS,2373-8227,5.578,1.323
ACS Macro Letters,ACS MACRO LETT,2161-1653,7.015,1.411
ACS Materials Letters,ACS MATER LETT,2639-4979,11.17,2.304
ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,1948-5875,4.632,0.916
ACS Nano,ACS NANO,1936-0851,18.027,3.558
ACS Omega,ACS OMEGA,2470-1343,4.132,0.63
ACS Photonics,ACS PHOTONICS,2330-4022,7.077,1.897
ACS Sensors,ACS SENSORS,2379-3694,9.618,1.619
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,2168-0485,9.224,1.363
ACS Synthetic Biology,ACS SYNTH BIOL,2161-5063,5.249,1.426
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,1091-5397,1.13,0.209
ACTA ACUSTICA,ACTA ACUST,2681-4617,1.355,0.325
ACTA ACUSTICA UNITED WITH ACUSTICA,ACTA ACUST UNITED AC,1610-1928,0.96,0.303
ACTA ADRIATICA,ACTA ADRIAT,0001-5113,0.682,0.191
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,0906-4702,0.73,0.174
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,0906-4710,1.931,0.249
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,0139-3006,1,0.123
ACTA AMAZONICA,ACTA AMAZON,0044-5967,1.091,0.333
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,0001-5172,2.274,0.729
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,0167-8019,1.563,0.606
ACTA ARITHMETICA,ACTA ARITH,0065-1036,0.59,0.553
ACTA ASTRONAUTICA,ACTA ASTRONAUT,0094-5765,2.954,0.544
ACTA ASTRONOMICA,ACTA ASTRONOM,0001-5237,1.974,0.881
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,1672-9145,3.511,0.657
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,0001-527X,2.349,0.374
Acta Bioethica,ACTA BIOETH,1726-569X,0.49,0.085
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,1900-1649,0.676,0.131
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,0001-5296,1.103,0.129
Acta Biomaterialia,ACTA BIOMATER,1742-7061,10.633,1.477
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,ACTA BIOQUIM CLIN L,0325-2957,0.043,0.01
ACTA BIOTHEORETICA,ACTA BIOTHEOR,0001-5342,1.185,0.239
Acta Botanica Brasilica,ACTA BOT BRAS,0102-3306,1.395,0.38
ACTA BOTANICA CROATICA,ACTA BOT CROAT,0365-0588,1.02,0.175
Acta Botanica Mexicana,ACTA BOT MEX,0187-7151,1,0.182
ACTA CARDIOLOGICA,ACTA CARDIOL,0001-5385,1.738,0.387
Acta Cardiologica Sinica,ACTA CARDIOL SIN,1011-6842,1.8,0.304
ACTA CARSOLOGICA,ACTA CARSOLOGICA,0583-6050,0.921,0.163
ACTA CHIMICA SINICA,ACTA CHIM SINICA,0567-7351,2.789,0.263
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,1318-0207,1.524,0.169
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,1508-1109,1.145,0.364
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,ACTA CHIR ORTHOP TR,0001-5415,0.222,0.087
ACTA CHIRURGICA BELGICA,ACTA CHIR BELG,0001-5458,0.99,0.217
ACTA CHROMATOGRAPHICA,ACTA CHROMATOGR,1233-2356,2.011,0.15
Acta Cirurgica Brasileira,ACTA CIR BRAS,0102-8650,1.564,0.209
ACTA CLINICA BELGICA,ACTA CLIN BELG,1784-3286,1.682,0.341
Acta Clinica Croatica,ACTA CLIN CROAT,0353-9466,0.932,0.194
Acta Crystallographica A-Foundation and Advances,ACTA CRYSTALLOGR A,2053-2733,2.331,0.86
Acta Crystallographica Section B-Structural Science Crystal Engineering and Materials,ACTA CRYSTALLOGR B,2052-5206,2.684,1.122
Acta Crystallographica Section C-Structural Chemistry,ACTA CRYSTALLOGR C,2053-2296,1.184,0.15
Acta Crystallographica Section D-Structural Biology,ACTA CRYSTALLOGR D,2059-7983,5.699,3.951
Acta Crystallographica Section F-Structural Biology Communications,ACTA CRYSTALLOGR F,2053-230X,1.072,0.342
ACTA CYTOLOGICA,ACTA CYTOL,0001-5547,3,0.548
ACTA DERMATO-VENEREOLOGICA,ACTA DERM-VENEREOL,0001-5555,3.875,1.015
Acta Dermatovenerologica Croatica,ACTA DERMATOVENER CR,1330-027X,1.444,0.358
ACTA DIABETOLOGICA,ACTA DIABETOL,0940-5429,4.087,0.943
Acta Endocrinologica-Bucharest,ACTA ENDOCRINOL-BUCH,1841-0987,1.104,0.211
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,ACTA ENT MUS NAT PRA,0374-1036,0.883,0.239
ACTA ETHOLOGICA,ACTA ETHOL,0873-9749,1.298,0.375
ACTA GASTRO-ENTEROLOGICA BELGICA,ACTA GASTRO-ENT BELG,1784-3227,1.692,0.237
Acta Geodaetica et Geophysica,ACTA GEOD GEOPHYS,2213-5812,1.768,0.37
Acta Geodynamica et Geomaterialia,ACTA GEODYN GEOMATER,1214-9705,1,0.231
Acta Geographica Slovenica-Geografski Zbornik,ACTA GEOGR SLOV,1581-6613,1.277,0.156
ACTA GEOLOGICA POLONICA,ACTA GEOL POL,0001-5709,1.289,0.323
ACTA GEOLOGICA SINICA-ENGLISH EDITION,ACTA GEOL SIN-ENGL,1000-9515,3.282,0.585
Acta Geophysica,ACTA GEOPHYS,1895-6572,2.293,0.381
Acta Geotechnica,ACTA GEOTECH,1861-1125,5.57,1.231
Acta Geotechnica Slovenica,ACTA GEOTECH SLOV,1854-0171,0.5,0.134
ACTA HAEMATOLOGICA,ACTA HAEMATOL-BASEL,0001-5792,3.068,0.497
Acta Herpetologica,ACTA HERPETOL,1827-9635,1.075,0.285
ACTA HISTOCHEMICA,ACTA HISTOCHEM,0065-1281,2.147,0.429
ACTA HISTOCHEMICA ET CYTOCHEMICA,ACTA HISTOCHEM CYTOC,0044-5991,1.857,0.278
Acta Histriae,ACTA HISTRIAE,1318-0185,0.183,0.311
ACTA ICHTHYOLOGICA ET PISCATORIA,ACTA ICHTHYOL PISCAT,0137-1592,0.913,0.23
ACTA INFORMATICA,ACTA INFORM,0001-5903,0.871,0.511
ACTA MATERIALIA,ACTA MATER,1359-6454,9.209,2.007
ACTA MATHEMATICA,ACTA MATH-DJURSHOLM,0001-5962,3.75,6.582
ACTA MATHEMATICA HUNGARICA,ACTA MATH HUNG,0236-5294,0.979,0.467
ACTA MATHEMATICA SCIENTIA,ACTA MATH SCI,0252-9602,1.085,0.405
ACTA MATHEMATICA SINICA-ENGLISH SERIES,ACTA MATH SIN,1439-8516,0.833,0.466
Acta Mathematicae Applicatae Sinica-English Series,ACTA MATH APPL SIN-E,0168-9673,0.691,0.19
ACTA MECHANICA,ACTA MECH,0001-5970,2.645,0.465
ACTA MECHANICA SINICA,ACTA MECH SINICA-PRC,0567-7718,2.91,0.467
ACTA MECHANICA SOLIDA SINICA,ACTA MECH SOLIDA SIN,0894-9166,2.187,0.39
Acta Medica Mediterranea,ACTA MEDICA MEDITERR,0393-6384,0.147,0.034
ACTA MEDICA OKAYAMA,ACTA MED OKAYAMA,0386-300X,0.744,0.221
Acta Medica Portuguesa,ACTA MEDICA PORT,0870-399X,1.698,0.239
ACTA METALLURGICA SINICA,ACTA METALL SIN,0412-1961,1.797,0.179
Acta Metallurgica Sinica-English Letters,ACTA METALL SIN-ENGL,1006-7191,3.024,0.346
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,ACTA MICROBIOL IMM H,1217-8950,2.298,0.309
Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,1335-1788,1.833,0.155
Acta Naturae,ACTA NATURAE,2075-8251,2.204,0.379
ACTA NEUROBIOLOGIAE EXPERIMENTALIS,ACTA NEUROBIOL EXP,0065-1400,1.269,0.309
ACTA NEUROCHIRURGICA,ACTA NEUROCHIR,0001-6268,2.816,0.656
ACTA NEUROLOGICA BELGICA,ACTA NEUROL BELG,0300-9009,2.471,0.533
ACTA NEUROLOGICA SCANDINAVICA,ACTA NEUROL SCAND,0001-6314,3.915,0.909
ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,0001-6322,15.887,6.282
Acta Neuropathologica Communications,ACTA NEUROPATHOL COM,2051-5960,7.578,2.354
ACTA NEUROPSYCHIATRICA,ACTA NEUROPSYCHIATR,1601-5215,4.513,0.821
ACTA NUMERICA,ACTA NUMER,0962-4929,15.583,8.124
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,0001-6349,4.544,1.346
ACTA OCEANOLOGICA SINICA,ACTA OCEANOL SIN,0253-505X,1.369,0.298
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,0001-6357,2.232,0.494
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,ACTA OECOL,1146-609X,1.93,0.426
ACTA OECONOMICA,ACTA OECON,0001-6373,0.939,0.133
Acta of Bioengineering and Biomechanics,ACTA BIOENG BIOMECH,1509-409X,1.238,0.216
ACTA ONCOLOGICA,ACTA ONCOL,0284-186X,4.311,1.107
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,1755-375X,3.988,1
ACTA ORNITHOLOGICA,ACTA ORNITHOL,0001-6454,0.809,0.248
Acta Orthopaedica,ACTA ORTHOP,1745-3674,3.925,1.308
Acta Orthopaedica Belgica,ACTA ORTHOP BELG,0001-6462,0.35,0.197
Acta Orthopaedica et Traumatologica Turcica,ACTA ORTHOP TRAUMATO,1017-995X,1.557,0.395
Acta Ortopedica Brasileira,ACTA ORTOP BRAS,1413-7852,0.683,0.216
ACTA OTO-LARYNGOLOGICA,ACTA OTO-LARYNGOL,0001-6489,1.698,0.412
Acta Otorhinolaryngologica Italica,ACTA OTORHINOLARYNGO,0392-100X,2.618,0.567
ACTA PAEDIATRICA,ACTA PAEDIATR,0803-5253,4.056,0.935
ACTA PALAEONTOLOGICA POLONICA,ACTA PALAEONTOL POL,0567-7920,2.108,0.664
ACTA PARASITOLOGICA,ACTA PARASITOL,1230-2821,1.534,0.287
Acta Paulista de Enfermagem,ACTA PAUL ENFERM,0103-2100,1.027,0.184
ACTA PETROLOGICA SINICA,ACTA PETROL SIN,1000-0569,1.468,0.365
ACTA PHARMACEUTICA,ACTA PHARMACEUT,1330-0075,3.299,0.317
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,2211-3835,14.903,1.926
ACTA PHARMACOLOGICA SINICA,ACTA PHARMACOL SIN,1671-4083,7.169,1.252
ACTA PHYSICA POLONICA A,ACTA PHYS POL A,0587-4246,0.725,0.111
ACTA PHYSICA POLONICA B,ACTA PHYS POL B,0587-4254,0.556,0.168
ACTA PHYSICA SINICA,ACTA PHYS SIN-CH ED,1000-3290,0.906,0.09
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,6.253,0.363
ACTA PHYSIOLOGIAE PLANTARUM,ACTA PHYSIOL PLANT,0137-5881,2.736,0.409
Acta Physiologica,ACTA PHYSIOL,1748-1708,7.523,1.358
Acta Phytotaxonomica et Geobotanica,ACTA PHYTOTAX GEOBOT,1346-7565,0.395,0.079
Acta Politica,ACTA POLIT,0001-6810,1.613,0.8
ACTA POLONIAE PHARMACEUTICA,ACTA POL PHARM,0001-6837,0.555,0.085
ACTA POLYMERICA SINICA,ACTA POLYM SIN,1000-3304,2.272,0.173
Acta Polytechnica Hungarica,ACTA POLYTECH HUNG,1785-8860,1.711,0.143
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,0065-1583,0.581,0.261
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,0001-690X,7.734,2.203
ACTA PSYCHOLOGICA,ACTA PSYCHOL,0001-6918,1.984,0.63
ACTA RADIOLOGICA,ACTA RADIOL,0284-1851,1.701,0.42
Acta Reumatologica Portuguesa,ACTA REUMATOL PORT,0303-464X,1.375,0.32
Acta Scientiae Veterinariae,ACTA SCI VET,1678-0345,0.274,0.068
Acta Scientiarum Polonorum-Hortorum Cultus,ACTA SCI POL-HORTORU,1644-0692,0.695,0.103
ACTA SCIENTIARUM-AGRONOMY,ACTA SCI-AGRON,1807-8621,2.117,0.45
ACTA SCIENTIARUM-TECHNOLOGY,ACTA SCI-TECHNOL,1806-2563,0.655,0.107
ACTA SOCIETATIS BOTANICORUM POLONIAE,ACTA SOC BOT POL,0001-6977,1.123,0.251
ACTA SOCIOLOGICA,ACTA SOCIOL,0001-6993,2.355,1.286
ACTA TROPICA,ACTA TROP,0001-706X,3.222,0.621
ACTA VETERINARIA BRNO,ACTA VET BRNO,0001-7213,0.817,0.122
ACTA VETERINARIA HUNGARICA,ACTA VET HUNG,0236-6290,0.959,0.213
ACTA VETERINARIA SCANDINAVICA,ACTA VET SCAND,0044-605X,2.048,0.466
ACTA VETERINARIA-BEOGRAD,ACTA VET-BEOGRAD,0567-8315,1,0.159
ACTA VIROLOGICA,ACTA VIROL,0001-723X,1.827,0.281
ACTA ZOOLOGICA,ACTA ZOOL-STOCKHOLM,0001-7272,1.205,0.294
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,ACTA ZOOL ACAD SCI H,1217-8837,0.97,0.193
ACTA ZOOLOGICA BULGARICA,ACTA ZOOL BULGAR,0324-0770,0.362,0.099
ACTAS ESPANOLAS DE PSIQUIATRIA,ACTAS ESP PSIQUIATRI,1139-9287,1.667,0.412
Actas Urologicas Espanolas,ACTAS UROL ESP,0210-4806,0.887,0.172
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,ACTES RECH SCI SOC,0335-5322,0.279,0.557
Action Research,ACTION RES-LONDON,1476-7503,1.808,0.451
Active Learning in Higher Education,ACT LEARN HIGH EDUC,1469-7874,3.795,1.235
Actuators,ACTUATORS,2076-0825,2.523,0.455
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,ACUPUNCTURE ELECTRO,0360-1293,0.684,0.035
Acupuncture in Medicine,ACUPUNCT MED,0964-5284,1.976,0.378
Ad Hoc & Sensor Wireless Networks,AD HOC SENS WIREL NE,1551-9899,0.4,0.065
Ad Hoc Networks,AD HOC NETW,1570-8705,4.816,0.615
ADANSONIA,ADANSONIA,1280-8571,0.545,0.17
ADAPTED PHYSICAL ACTIVITY QUARTERLY,ADAPT PHYS ACT Q,0736-5829,2.741,0.693
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1.867,0.595
ADDICTION,ADDICTION,0965-2140,7.256,2.574
ADDICTION BIOLOGY,ADDICT BIOL,1355-6215,4.093,1.082
ADDICTION RESEARCH & THEORY,ADDICT RES THEORY,1606-6359,3.007,0.844
Addiction Science & Clinical Practice,ADDICT SCI CLIN PRAC,1940-0640,4.329,1.428
ADDICTIVE BEHAVIORS,ADDICT BEHAV,0306-4603,4.591,1.223
Additive Manufacturing,ADDIT MANUF,2214-8604,11.632,2.147
Adicciones,ADICCIONES,0214-4840,4.102,0.687
Adipocyte,ADIPOCYTE,2162-3945,3.553,0.907
ADMINISTRATION & SOCIETY,ADMIN SOC,0095-3997,3.121,0.976
Administration and Policy in Mental Health and Mental Health Services Research,ADM POLICY MENT HLTH,0894-587X,2.619,0.992
ADMINISTRATIVE LAW REVIEW,ADMIN LAW REV,0001-8368,1.667,1.063
ADMINISTRATIVE SCIENCE QUARTERLY,ADMIN SCI QUART,0001-8392,12.529,8.624
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPT SCI TECHNOL,0263-6174,4.373,0.43
ADSORPTION-JOURNAL OF THE INTERNATIONAL ADSORPTION SOCIETY,ADSORPTION,0929-5607,2.964,0.418
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,0741-7136,1.804,0.804
ADVANCED COMPOSITE MATERIALS,ADV COMPOS MATER,0924-3046,2.92,0.33
Advanced Composites and Hybrid Materials,ADV COMPOS HYBRID MA,2522-0128,11.806,1.108
ADVANCED COMPOSITES LETTERS,ADV COMPOS LETT,0963-6935,1.673,0.198
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,17.873,3.492
Advanced Electronic Materials,ADV ELECTRON MATER,2199-160X,7.633,1.543
Advanced Energy Materials,ADV ENERGY MATER,1614-6832,29.698,5.579
ADVANCED ENGINEERING INFORMATICS,ADV ENG INFORM,1474-0346,7.862,1.102
ADVANCED ENGINEERING MATERIALS,ADV ENG MATER,1438-1656,4.122,0.723
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,19.924,3.642
Advanced Healthcare Materials,ADV HEALTHC MATER,2192-2640,11.092,1.679
ADVANCED MATERIALS,ADV MATER,0935-9648,32.086,6.243
ADVANCED MATERIALS & PROCESSES,ADV MATER PROCESS,0882-7958,0.247,0.044
Advanced Materials Interfaces,ADV MATER INTERFACES,2196-7350,6.389,1.073
Advanced Materials Technologies,ADV MATER TECHNOL-US,2365-709X,8.856,1.586
ADVANCED NONLINEAR STUDIES,ADV NONLINEAR STUD,1536-1365,1.682,0.965
Advanced Optical Materials,ADV OPT MATER,2195-1071,10.05,1.964
ADVANCED POWDER TECHNOLOGY,ADV POWDER TECHNOL,0921-8831,4.969,0.632
ADVANCED ROBOTICS,ADV ROBOTICS,0169-1864,2.057,0.439
Advanced Science,ADV SCI,2198-3844,17.521,3.537
Advanced Steel Construction,ADV STEEL CONSTR,1816-112X,1.313,0.202
Advanced Sustainable Systems,ADV SUSTAIN SYST,2366-7486,6.737,1.128
ADVANCED SYNTHESIS & CATALYSIS,ADV SYNTH CATAL,1615-4150,5.981,0.983
Advanced Theory and Simulations,ADV THEOR SIMUL,2513-0390,4.105,0.858
Advancements of Microbiology,ADV MICROBIOL-NY,0079-4252,1.106,0.242
Advances in Agronomy,ADV AGRON,0065-2113,9.265,1.651
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,1072-4109,4.571,1.243
Advances in Anatomy Embryology and Cell Biology,ADV ANAT EMBRYOL CEL,0301-5556,1.182,0.962
Advances in Applied Ceramics,ADV APPL CERAM,1743-6753,2.475,0.349
Advances in Applied Clifford Algebras,ADV APPL CLIFFORD AL,0188-7009,1.185,0.312
ADVANCES IN APPLIED MATHEMATICS,ADV APPL MATH,0196-8858,1.271,0.846
Advances in Applied Mathematics and Mechanics,ADV APPL MATH MECH,2070-0733,1.295,0.281
Advances in Applied Mechanics,ADV APPL MECH,0065-2156,17.4,4.159
Advances in Applied Microbiology,ADV APPL MICROBIOL,0065-2164,5.515,1.309
ADVANCES IN APPLIED PROBABILITY,ADV APPL PROBAB,0001-8678,1.06,0.735
Advances in Astronomy,ADV ASTRON,1687-7969,1.093,0.408
ADVANCES IN ATMOSPHERIC SCIENCES,ADV ATMOS SCI,0256-1530,3.9,0.959
Advances In Atomic Molecular and Optical Physics,ADV ATOM MOL OPT PHY,1049-250X,3,1.396
Advances in Biochemical Engineering-Biotechnology,ADV BIOCHEM ENG BIOT,0724-6145,2.768,0.543
Advances in Botanical Research,ADV BOT RES,0065-2296,2.878,0.664
Advances in Calculus of Variations,ADV CALC VAR,1864-8258,2.973,1.542
Advances in Cancer Research,ADV CANCER RES,0065-230X,5.767,1.503
Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,0065-2318,3.714,1.461
Advances in Catalysis,ADV CATAL,0360-0564,6.875,2.478
ADVANCES IN CEMENT RESEARCH,ADV CEM RES,0951-7197,2.206,0.433
Advances in Child Development and Behavior,ADV CHILD DEV BEHAV,0065-2407,3.531,1.439
ADVANCES IN CHRONIC KIDNEY DISEASE,ADV CHRONIC KIDNEY D,1548-5595,4.305,1.485
Advances in Civil Engineering,ADV CIV ENG,1687-8086,1.843,0.276
